Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_8-0.95,1.0,2.3920967158164905,1058193,413677,191413,629697,5694,32246101,4.0,3.8640377832513098,3.0,2.810326659641728
marine_sample_8-1.00,3.0,3.5346863544065736,587032,163489,76604,411598,2426,32717262,6.0,4.816199301259967,3.0,2.8709810387469084
marine_sample_9-0.05,0.0,0.3842601025502085,32066829,25329069,11315160,5973606,755355,1233015,1.0,1.6483690086021745,2.0,3.1721574623852367
marine_sample_9-0.10,0.0,0.4298856822965942,31335654,23954749,10387063,6943009,423988,1964190,1.0,1.7652656074621251,2.0,2.5692283743879543
marine_sample_9-0.15,0.0,0.4971265522236075,30392931,22414797,9552956,7677825,280770,2906913,1.0,1.8647476336071742,2.0,2.1942372760622573
marine_sample_9-0.20,0.0,0.5769631894045372,29159349,20690795,8713261,8239257,203641,4140495,1.0,1.9632249606973056,2.0,2.049940827240094
marine_sample_9-0.25,0.0,0.6475566868584878,27889180,19155475,8012542,8539847,163414,5410664,1.0,2.043782049022658,2.0,2.033136695754341
marine_sample_9-0.30,0.0,0.7319791780118874,26093954,17282910,7207163,8641882,133417,7205890,1.0,2.1408934998186737,2.0,2.077523853781752
marine_sample_9-0.35,0.0,0.8153836046596723,24049760,15397764,6421869,8499012,113538,9250084,1.0,2.236779875119602,2.0,2.152116472018179
marine_sample_9-0.40,0.0,0.9012561737468712,21813941,13501809,5638614,8172685,97649,11485903,1.0,2.3327560036878947,2.0,2.2415692941043943
marine_sample_9-0.45,0.0,0.9909099101592168,19441282,11629919,4866226,7683955,84137,13858562,1.0,2.4309310765094283,2.0,2.328999132367448
marine_sample_9-0.50,0.0,1.0707731403255725,17395639,10106292,4237247,7171652,73968,15904205,1.0,2.517678632482446,3.0,2.397320462902877
marine_sample_9-0.55,0.0,1.1723219459978222,14900325,8348637,3509792,6446062,62533,18399519,1.0,2.6257350611892964,3.0,2.4705355572257854
marine_sample_9-0.60,0.0,1.2807604180137562,12426481,6704188,2827040,5629664,51586,20873363,2.0,2.738230381067148,3.0,2.532489435118056
marine_sample_9-0.65,0.0,1.4023815927692054,10042271,5202179,2201047,4760489,41394,23257573,2.0,2.8636163217686246,3.0,2.5849398463545437
marine_sample_9-0.70,1.0,1.545329577528345,7800547,3859599,1638572,3873845,31987,25499297,2.0,3.0084110231565795,3.0,2.6340075655735142
marine_sample_9-0.75,1.0,1.680446786628556,6033305,2866387,1220075,3111191,24318,27266539,2.0,3.1471102224196463,3.0,2.6608273706719303
marine_sample_9-0.80,1.0,1.7978599191993938,4113583,1881942,803067,2191545,16319,29186261,2.0,3.2569502337392118,3.0,2.6901158159200933
marine_sample_9-0.85,1.0,1.8664425202618795,2700021,1198131,513674,1474993,10842,30599823,2.0,3.298601417091471,3.0,2.72320605054418
marine_sample_9-0.90,1.0,2.0326612253129483,1755323,733301,316507,1003488,6840,31544521,2.0,3.43189455180331,3.0,2.7581871345029243
marine_sample_9-0.95,1.0,2.459399884196224,1046598,383550,167021,649186,3822,32253246,3.0,3.809293484455919,3.0,2.8003663003662997
marine_sample_9-1.00,3.0,3.6269541221110733,579800,150358,66322,417171,1636,32720044,6.0,4.800278542851731,3.0,2.8459657701711487
