Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score,Mean Precision,Mean Recall
mouse_sample_25-kraken2_standard_0521-0.35,0.3162029455472489,0.7854269758285963,0.17971014492753626,0.24835244880520496,0.31155778894472363,0.3773778199808843,0.22794117647058826,27253042.0,142.92396319740945,9.972847497652234,0.6226221800191157,0.655627832444305,0.8482612327376953,3.976986100990241,372.0,0.3895493493411367,0.4717405236097963,0.019102242471939115,345.0,0.3026594982257363,0.4825685603780663,0.27995511887496427
mouse_sample_25-kraken2_standard_0521-0.40,0.2845987234638837,0.8292165666949161,0.1962025316455696,0.23599219518261905,0.31155778894472363,0.3674183781800807,0.24077669902912624,27024126.0,140.48436082238717,10.66614579177693,0.6325816218199193,0.655455444351442,0.8443705764055709,3.9396152643888898,324.5,0.3945120828351773,0.4744363301323603,0.020333924581460668,316.0,0.3040975386046035,0.5127095491702428,0.27377499206367134
mouse_sample_25-kraken2_standard_0521-0.45,0.2519963242303105,0.8651910064253115,0.21305841924398625,0.21802330782435375,0.31155778894472363,0.3482815960595794,0.2530612244897959,27135055.0,137.71890765751874,11.439442208264985,0.6517184039404206,0.6559009662204964,0.8408035490019539,3.9038707010354767,299.27272727272725,0.3990081071267825,0.4769615342300786,0.02158607239856537,291.0,0.3006714102746877,0.5391247128346489,0.2647905483845387
mouse_sample_25-kraken2_standard_0521-0.50,0.2243604840324733,0.9037328478738206,0.2246376811594203,0.20276040883127072,0.31155778894472363,0.3312107698781627,0.26105263157894737,27231170.0,135.49418379310515,12.096477290538704,0.6687892301218372,0.6563741556279569,0.8382947203532919,3.8792077004429335,281.5,0.4021407717248317,0.4784110501387442,0.022406123125435374,276.0,0.29613170072855505,0.5641852645166204,0.25715909888799715
mouse_sample_25-kraken2_standard_0521-0.55,0.19109512918417998,0.9363171002552798,0.24124513618677046,0.17892428678232486,0.31155778894472363,0.3004369660460271,0.2719298245614035,27710292.0,132.38343817348178,13.15133974746117,0.6995630339539729,0.6570522071304223,0.8356426966710774,3.854021928502944,263.0,0.4054263753692405,0.4814142737796794,0.0236743394108296,257.0,0.2861833953037153,0.5887811182210252,0.24524103786352425
mouse_sample_25-kraken2_standard_0521-0.60,0.15856787514411094,0.9424549041932779,0.25203252032520324,0.14944194364958896,0.31155778894472363,0.2579772859734439,0.2786516853932585,28589500.0,129.6107003967514,14.500850525461106,0.7420227140265561,0.6578950689206854,0.8328931978299271,3.825671785187096,252.11111111111111,0.4088059821623011,0.4816701036699831,0.024326003475725125,246.0,0.2683144856833512,0.5972437122592406,0.2304998662971563
mouse_sample_25-kraken2_standard_0521-0.65,0.12761076172989708,0.9505972866139228,0.2629310344827586,0.1213055282779994,0.3065326633165829,0.21515515106462607,0.2830626450116009,29431404.0,126.67282632297592,13.757610031642564,0.784844848935374,0.6585072213652112,0.8302121564626649,3.7976593093193993,241.16666666666663,0.41207563511502543,0.4832869043173024,0.025386651586975333,232.0,0.24910889803811348,0.6067641605483407,0.21391909579729115
mouse_sample_25-kraken2_standard_0521-0.70,0.09875906688854397,0.958629769442078,0.2772727272727273,0.09467266697059296,0.3065326633165829,0.17232664384520432,0.2911694510739857,30243321.0,123.26615564150306,15.679839261132354,0.8276733561547956,0.6592975449355217,0.8282450503359192,3.7785392652661303,231.14285714285717,0.414460924014056,0.485588560916765,0.026464765960716518,220.0,0.23174804745959499,0.6179512483574027,0.20060266514358793
mouse_sample_25-kraken2_standard_0521-0.75,0.0760589638683627,0.9660854720588538,0.28773584905660377,0.07347890542394755,0.3065326633165829,0.13657048004039876,0.2968369829683698,30898049.0,119.93619397858824,17.58059129111783,0.8634295199596013,0.6599935752045955,0.8264775237887281,3.759519882682709,222.11111111111111,0.4165950433048288,0.4864853235468773,0.02718368960071963,212.0,0.21670373150438427,0.6269106605577288,0.19000578437026522
mouse_sample_25-kraken2_standard_0521-0.80,0.05158325119182863,0.9749223665395268,0.3065326633165829,0.05028928576250491,0.3065326633165829,0.0956449321992683,0.3065326633165829,31626476.0,115.60252329493895,20.5170146293274,0.9043550678007316,0.6614534829733649,0.8249549223309777,3.742997962348929,209.11111111111111,0.4184321844983054,0.4901377438770148,0.02870760889170663,199.0,0.2010887977579256,0.6407275149280549,0.1784109745395439
mouse_sample_25-kraken2_standard_0521-0.85,0.033916583121890366,0.9750318507478829,0.3279569892473118,0.03306949921714575,0.3065326633165829,0.06396939162142344,0.3168831168831168,32184278.0,111.07632786784616,23.742975025255326,0.9360306083785764,0.6623829183528578,0.825008881782237,3.7500010256632006,192.875,0.4183880209938512,0.4974031081740885,0.030723525518198336,186.0,0.19042625425227014,0.6514944199975974,0.16980108126686433
mouse_sample_25-kraken2_standard_0521-0.90,0.022246405269244717,0.9770065070057772,0.3609467455621302,0.02173471866065393,0.3065326633165829,0.04252345054692082,0.3315217391304348,32550075.0,105.30660888174893,26.94508291457593,0.9574765494530793,0.6640012846015748,0.8228161348632672,3.71913772498726,175.875,0.4210277465259048,0.5025264574307888,0.03339559027424612,169.0,0.1870225948386778,0.6689766262839537,0.1641336909886184
mouse_sample_25-kraken2_standard_0521-0.95,0.013410515275312864,0.8580772464824261,0.3870967741935484,0.011507171169866518,0.3015075376884422,0.02270979459107373,0.3389830508474576,32936484.0,100.53155729613802,31.205124633847863,0.9772902054089264,0.7071886696693189,0.8199453833355915,3.669515936558851,159.58333333333334,0.42447500584100417,0.5043228691772962,0.03583142172494542,155.0,0.18084642271926568,0.6225870103379872,0.15650735442915434
mouse_sample_25-kraken2_standard_0521-1.00,0.007538635574979506,0.8801405652926582,0.4142857142857143,0.006635008898128093,0.2914572864321608,0.013170729217816458,0.3421828908554572,33065267.0,94.92254061184877,34.317901686451876,0.9868292707821836,0.7101433833756657,0.8182335466935331,3.659945397562236,151.14285714285714,0.4265772837093456,0.513367948623057,0.03929689451999125,140.0,0.17767681003663685,0.6472131397891863,0.14904614766514443
mouse_sample_26-kraken2_standard_0521-0.00,0.6832399011203677,0.3239681152979533,0.005492242207881368,0.22135086180325847,0.3960396039603961,0.2630043131789628,0.010834236186348864,41206653.0,195.615293871676,7.268197339615523,0.7369956868210372,0.7209076310428411,0.8507567712967556,4.380261813885263,7862.125,0.3864441067507511,0.34139934107381315,0.0009200153091706019,7283.0,0.13691927468265583,0.16473017875291732,0.3086952328818273
mouse_sample_26-kraken2_standard_0521-0.05,0.6256773950842931,0.35967013769267103,0.009394081728511038,0.22504044223304107,0.3960396039603961,0.2768560365528566,0.018352833218628132,39049492.0,160.49544754224502,7.272846535211039,0.7231439634471434,0.7107931832316234,0.8348207055061521,3.73071107073291,4720.851153039832,0.4065058211310432,0.3094495169345088,0.0014218007404161845,4258.0,0.14760443488574237,0.18453210971059103,0.3105400230967186
mouse_sample_26-kraken2_standard_0521-0.10,0.5796448150932091,0.3836351904229524,0.02894356005788712,0.2223750812622902,0.3960396039603961,0.2815493750894311,0.05394470667565745,37697498.0,133.076828826417,7.3022816200960765,0.7184506249105689,0.7067182093530352,0.8322714896873384,3.596704919159411,1601.639344262295,0.4095760901622412,0.3447582529264086,0.004314048935976006,1382.0,0.16774704088254427,0.20628937524041976,0.30920734261134314
mouse_sample_26-kraken2_standard_0521-0.15,0.5376226271453203,0.4069138605071008,0.057142857142857134,0.2187689834038575,0.3960396039603961,0.2845535320727001,0.09987515605493133,36541213.0,123.05346416842414,7.266516265244786,0.7154464679272999,0.7020969168015351,0.8323644108310139,3.5615010512332166,767.7755102040817,0.40944928016579857,0.37683012357796536,0.008521886287113818,700.0,0.1922143440638157,0.23202835882497896,0.3074042936821268
mouse_sample_26-kraken2_standard_0521-0.20,0.4957655055165808,0.4315113009196907,0.08421052631578947,0.2139312391420725,0.3960396039603961,0.286047917761118,0.1388888888888889,35472233.0,118.01765145330386,7.252753545327182,0.7139520822388821,0.6962130445014251,0.8327161181669827,3.5406981988900785,511.0294117647058,0.4090152958630208,0.3981988672990944,0.012584973129665944,475.0,0.21246840332500344,0.2578609136177401,0.3049854215512343
mouse_sample_26-kraken2_standard_0521-0.25,0.4603946201927257,0.4534726755006537,0.1038961038961039,0.20877913317454086,0.3960396039603961,0.2859203428942255,0.1646090534979424,34639590.0,115.25937305453093,7.273410712620889,0.7140796571057745,0.6897463624409997,0.8343881920140801,3.5445478475114816,435.16666666666674,0.40696452574940495,0.4126982904783845,0.015683679980254942,385.0,0.22526469819608397,0.2786843896983788,0.3024093685674685
mouse_sample_26-kraken2_standard_0521-0.30,0.4173257979841137,0.4814484128200743,0.12871287128712872,0.2009234924531816,0.38613861386138615,0.28352367907384224,0.19306930693069307,33730849.0,113.27558203868692,7.357852995081518,0.7164763209261578,0.6826337332031357,0.8363849612276872,3.550013397110725,318.8125,0.4045023707570827,0.4306609813438707,0.02017131223246569,303.0,0.23829649300226766,0.3050806420536015,0.2935310531572839
mouse_sample_26-kraken2_standard_0521-0.35,0.37416166299665293,0.5107033747408177,0.14285714285714285,0.1910881436866012,0.38613861386138615,0.27811495947510073,0.2085561497326203,32950460.0,111.227903932538,7.517682804332316,0.7218850405248993,0.6758658703374438,0.8372570906871077,3.555918755990997,288.4,0.4034228958022941,0.43939521402551546,0.02250791557352038,273.0,0.24333555460386053,0.3267802587989803,0.2886133787739937
mouse_sample_26-kraken2_standard_0521-0.40,0.3312845501297049,0.5300331335228902,0.1553784860557769,0.1755941035835368,0.38613861386138615,0.2637956361553756,0.22159090909090912,32555529.0,109.26072319259329,7.837937025147947,0.7362043638446244,0.6704491820346185,0.8371934732743389,3.5513576930822675,281.0,0.4035020748487534,0.4455043956100799,0.024471154966245988,251.0,0.24269327262314236,0.3427058097893335,0.28086635872246146
mouse_sample_26-kraken2_standard_0521-0.45,0.2891963416751784,0.5501108084021802,0.1703056768558952,0.1590921311008133,0.38613861386138615,0.2468074960648824,0.2363636363636364,32253763.0,107.17129063200586,8.115259985217156,0.7531925039351176,0.6659007155113746,0.8369739863357654,3.5465974617438913,257.5,0.403774383362975,0.4524180717344086,0.026785984205367628,229.0,0.2415855662142594,0.3602082426290377,0.27261537248109974
mouse_sample_26-kraken2_standard_0521-0.50,0.2548477656830163,0.5639089191054363,0.1848341232227488,0.14371282308552907,0.38613861386138615,0.2290515904071275,0.25,32134502.0,105.57968431188485,8.449936759126654,0.7709484095928725,0.6638096468869965,0.8362609352718042,3.538839823194862,222.25,0.4046568779385929,0.4583336823817442,0.02894444585205258,211.0,0.23952579520356376,0.37437152116409256,0.2649257184734576
mouse_sample_26-kraken2_standard_0521-0.55,0.21483449173783314,0.5677884718462218,0.1958762886597938,0.12198215622506325,0.3762376237623761,0.2008205605077692,0.25762711864406784,32249017.0,104.00693067008206,9.068497966943113,0.7991794394922308,0.6682724621262288,0.833928387464385,3.5030602010608494,196.14285714285717,0.40752987111145983,0.4609342598793182,0.03103865312412915,194.0,0.22922383957591852,0.3818323802530078,0.2491098899937197
mouse_sample_26-kraken2_standard_0521-0.60,0.1766705145011499,0.5762105057957323,0.2111111111111111,0.10180074886846946,0.3762376237623761,0.17303152592927665,0.2704626334519573,32322038.0,101.73064858136897,9.791667101494818,0.8269684740707234,0.670190221294343,0.8311957300744267,3.483066232330668,183.5,0.4108705004645377,0.4649138454192399,0.03291122646367317,180.0,0.22174707969061697,0.3936608084534217,0.2390191863154228
