Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_21-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.60,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.65,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.70,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.75,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.80,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.85,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.90,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.95,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-1.00,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.00,0.935927898,0.737671379,0.004973357,0.371322368,0.743922494,0.7,0.721961247,0.740783749,0.009876543,6432451,97.88561891,5.261732146,0.259216251,0.258277863,0.717647555,2.646945146,3554.879747,0.531488498,0.230994311,0.001258143,2815,0.375330146
strain_sample_22-kraken2_refseqV205_100GB-0.05,0.44215257,0.875504689,0.02108768,0.448296185,0.417112297,0.95,0.683556149,0.56503013,0.041259501,7934482,75.31623254,10.71513259,0.43496987,0.356336797,0.623098792,2.420089646,1197.659091,0.614016684,0.246560891,0.002944745,901,0.303144815
