Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_14-kraken2_refseqV205-0.90,0.073476045,0.949438283,0.5,0.724719141,0.072636854,0.7,0.386318427,0.134949393,0.583333333,11903073,37.35358613,10.86019976,0.865050607,0.364993566,0.680867582,2.179973076,28,0.564933661,0.453466222,0.111910554,28,0.359141363
strain_sample_14-kraken2_refseqV205-0.95,0.044786174,0.95850921,0.52,0.739254605,0.044697658,0.65,0.347348829,0.085412328,0.577777778,12235481,36.4968562,11.99257302,0.914587672,0.371195825,0.681532671,2.172885134,25,0.56435182,0.467905345,0.125601581,25,0.331595053
strain_sample_14-kraken2_refseqV205-1.00,0.025433206,0.965818884,0.611111111,0.788464998,0.025576512,0.55,0.287788256,0.049833353,0.578947368,12466728,33.65581818,11.67176402,0.950166647,0.436872891,0.614204312,1.93114768,18,0.621155732,0.463113288,0.144002531,18,0.314390361
strain_sample_15-kraken2_refseqV205-0.00,0.996855474,0.577662417,0.000712678,0.289187548,0.617676664,0.95,0.783838332,0.596999798,0.001424288,10343377,242.5848654,4.736424818,0.403000202,0.400235773,0.825536477,4.126674158,28967.03699,0.418529593,0.280680515,0.000214998,26660,0.299212043
strain_sample_15-kraken2_refseqV205-0.05,0.992925343,0.582943144,0.003079417,0.29301128,0.620865714,0.95,0.785432857,0.601307108,0.006138934,10211979,156.7063573,4.185867286,0.398692892,0.396248695,0.785925108,3.303050587,8559.416342,0.462898446,0.262333112,0.000757093,6170,0.303723021
strain_sample_15-kraken2_refseqV205-0.10,0.983937783,0.575540239,0.007462687,0.291501463,0.607432764,0.95,0.778716382,0.591056596,0.014809041,10425633,114.5989484,4.751421888,0.408943404,0.406610416,0.770409032,3.040793931,3215.328622,0.479249689,0.26876343,0.001710751,2546,0.302932819
strain_sample_15-kraken2_refseqV205-0.15,0.967764174,0.572926265,0.012794613,0.292860439,0.594734532,0.95,0.772367266,0.583626743,0.025249169,10525455,94.79667869,5.571343842,0.416373257,0.414608882,0.762379447,2.906976108,1782.484472,0.487519576,0.27590242,0.002833933,1485,0.304437956
strain_sample_15-kraken2_refseqV205-0.20,0.942447718,0.611460191,0.022144522,0.316802356,0.618130734,0.95,0.784065367,0.614777368,0.043280182,9608251,76.63447355,6.80908183,0.385222632,0.384887833,0.742230424,2.680353622,1065.5,0.507744833,0.275053805,0.004521485,858,0.329028775
strain_sample_15-kraken2_refseqV205-0.25,0.913476454,0.643346506,0.044705882,0.344026194,0.630372396,0.95,0.790186198,0.636793374,0.085393258,8919130,56.8301857,8.723401229,0.363206626,0.363618596,0.727112072,2.508284178,490.6190476,0.522404987,0.28727437,0.008622372,425,0.361093316
strain_sample_15-kraken2_refseqV205-0.30,0.86906367,0.694779146,0.109090909,0.401935028,0.647669212,0.9,0.773834606,0.670397575,0.194594595,7899167,42.14238172,8.678749277,0.329602425,0.318842211,0.692453876,2.213355197,172,0.554576279,0.300469506,0.019706332,165,0.432496085
