Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
mouse_sample_36-kraken2_refseqV208_nt-0.35,0.243789506,0.834926039,0.171487603,0.503206821,0.203544237,0.430051813,0.316798025,0.32729754,0.245199409,27839239,144.8110977,36.10552401,0.67270246,0.718266434,0.93980737,4.799821405,500.7307692,0.245356473,0.538165154,0.034325061,484,0.286248475
mouse_sample_36-kraken2_refseqV208_nt-0.40,0.218315657,0.854618981,0.183222958,0.51892097,0.186574899,0.430051813,0.308313356,0.306283879,0.256965944,28120895,142.3723266,36.98839497,0.693716121,0.719977186,0.939025468,4.770666446,474.12,0.246945583,0.540685468,0.036203731,453,0.281624912
mouse_sample_36-kraken2_refseqV208_nt-0.45,0.192297002,0.858103755,0.198090692,0.528097224,0.165009183,0.430051813,0.297530498,0.27679251,0.27124183,28690292,139.9466127,38.19054374,0.72320749,0.7216126,0.938320374,4.744079835,448.3333333,0.248370058,0.54462005,0.038694055,419,0.27401717
mouse_sample_36-kraken2_refseqV208_nt-0.50,0.170458929,0.861991118,0.208121827,0.535056473,0.146932661,0.424870466,0.285901564,0.251068815,0.279386712,29166597,138.0028289,38.96009514,0.748931185,0.722995072,0.937759309,4.723460108,425.0714286,0.249498131,0.547834809,0.040778324,394,0.265227764
mouse_sample_36-kraken2_refseqV208_nt-0.55,0.144542882,0.867329426,0.227146814,0.54723812,0.125365081,0.424870466,0.275117774,0.219066033,0.296028881,29739532,135.3556825,40.08154478,0.780933967,0.724638816,0.937129728,4.700402317,374.3157895,0.250758222,0.553258301,0.044060301,361,0.257547457
mouse_sample_36-kraken2_refseqV208_nt-0.60,0.119388066,0.867675798,0.239766082,0.55372094,0.103589133,0.424870466,0.2642298,0.185081908,0.306542056,30351661,133.0538949,41.79225588,0.814918092,0.72590002,0.936591156,4.679933721,347,0.251832745,0.555953399,0.046113073,342,0.245811982
mouse_sample_36-kraken2_refseqV208_nt-0.65,0.095627138,0.867592113,0.249230769,0.558411441,0.082964548,0.419689119,0.251326833,0.151446811,0.312741313,30933550,130.1893031,41.36586347,0.848553189,0.726953571,0.936098336,4.660642756,333.55,0.252813528,0.558542363,0.048150907,325,0.232094062
mouse_sample_36-kraken2_refseqV208_nt-0.70,0.073683843,0.867660723,0.256410256,0.56203549,0.063931958,0.414507772,0.239219865,0.119089061,0.316831683,31469976,127.3388102,43.05977368,0.880910939,0.728492621,0.935595669,4.638248885,327.7894737,0.253812281,0.559809743,0.049765725,312,0.217960372
mouse_sample_36-kraken2_refseqV208_nt-0.75,0.056618886,0.868633105,0.27027027,0.569451688,0.049180563,0.414507772,0.231844167,0.093090497,0.327198364,31883822,124.470687,45.49225649,0.906909503,0.729145312,0.935264553,4.622887525,317.3684211,0.254471465,0.563117582,0.052187457,296,0.21014443
mouse_sample_36-kraken2_refseqV208_nt-0.80,0.038312961,0.869974364,0.294117647,0.582046005,0.033330971,0.414507772,0.223919372,0.06420219,0.344086022,32329458,120.2865507,48.52748563,0.93579781,0.730955931,0.9348293,4.606492692,286.7727273,0.255339809,0.569584403,0.056412937,272,0.204144106
