Sample name	Shannon diversity
strain_sample_55-kraken2_refseqV205_500GB-0.55	1.9569432276572274
strain_sample_55-kraken2_refseqV205_500GB-0.70	0.24083474743116445
strain_sample_55-kraken2_refseqV205_500GB-0.25	2.154821340155814
strain_sample_55-kraken2_refseqV205_500GB-0.40	2.0398179814916033
strain_sample_55-kraken2_refseqV205_500GB-0.30	2.091811827256114
strain_sample_55-kraken2_refseqV205_500GB-0.35	2.0603141751760417
strain_sample_55-kraken2_refseqV205_500GB-0.20	2.2836226168964844
strain_sample_55-kraken2_refseqV205_500GB-0.60	1.939924410011746
strain_sample_55-kraken2_refseqV205_500GB-0.15	2.6912114848704545
strain_sample_55-kraken2_refseqV205_500GB-0.90	nan
strain_sample_55-kraken2_refseqV205_500GB-0.85	nan
strain_sample_55-kraken2_refseqV205_500GB-1.00	nan
strain_sample_55-kraken2_refseqV205_500GB-0.95	nan
strain_sample_55-kraken2_refseqV205_500GB-0.80	nan
strain_sample_55-kraken2_refseqV205_500GB-0.75	nan
plant_sample_7-kraken2_refseqV205_500GB-0.15	3.659643948132138
plant_sample_7-kraken2_refseqV205_500GB-0.20	3.596268375298058
plant_sample_7-kraken2_refseqV205_500GB-0.25	3.56421769049791
plant_sample_7-kraken2_refseqV205_500GB-0.10	3.805874752490288
plant_sample_7-kraken2_refseqV205_500GB-0.05	4.241501047180032
plant_sample_7-kraken2_refseqV205_500GB-0.00	5.549096689377764
plant_sample_7-kraken2_refseqV205_500GB-0.60	3.364609315327764
plant_sample_7-kraken2_refseqV205_500GB-0.70	2.851806599453538
plant_sample_7-kraken2_refseqV205_500GB-0.55	3.383954219563033
plant_sample_7-kraken2_refseqV205_500GB-0.30	3.552471672854704
plant_sample_7-kraken2_refseqV205_500GB-0.50	3.4298873992845573
plant_sample_7-kraken2_refseqV205_500GB-0.65	3.03789110140992
plant_sample_7-kraken2_refseqV205_500GB-0.40	3.5038516972422973
plant_sample_7-kraken2_refseqV205_500GB-0.45	3.4757134117904247
plant_sample_7-kraken2_refseqV205_500GB-0.75	0.6947570868163001
plant_sample_7-kraken2_refseqV205_500GB-0.80	nan
plant_sample_7-kraken2_refseqV205_500GB-0.85	nan
plant_sample_7-kraken2_refseqV205_500GB-0.35	3.5308872284140516
plant_sample_7-kraken2_refseqV205_500GB-1.00	nan
plant_sample_7-kraken2_refseqV205_500GB-0.90	nan
plant_sample_7-kraken2_refseqV205_500GB-0.95	nan
strain_sample_27-kraken2_refseqV205_500GB-0.20	2.100587352241796
strain_sample_27-kraken2_refseqV205_500GB-0.15	2.553511167279867
strain_sample_27-kraken2_refseqV205_500GB-0.25	2.0015420497002663
