Sample name	Number of taxa
strain_sample_69-kraken2_standard_0521-0.70	75
strain_sample_69-kraken2_standard_0521-0.60	91
strain_sample_69-kraken2_standard_0521-0.15	620
strain_sample_69-kraken2_standard_0521-0.80	57
strain_sample_69-kraken2_standard_0521-0.85	50
strain_sample_69-kraken2_standard_0521-0.95	36
strain_sample_69-kraken2_standard_0521-0.90	41
plant_sample_18-kraken2_standard_0521-0.25	825
strain_sample_69-kraken2_standard_0521-0.75	68
plant_sample_18-kraken2_standard_0521-0.20	1103
strain_sample_69-kraken2_standard_0521-1.00	31
plant_sample_18-kraken2_standard_0521-0.15	1615
plant_sample_18-kraken2_standard_0521-0.10	2471
plant_sample_18-kraken2_standard_0521-0.05	4238
plant_sample_18-kraken2_standard_0521-0.00	7353
plant_sample_18-kraken2_standard_0521-0.70	193
plant_sample_18-kraken2_standard_0521-0.65	219
plant_sample_18-kraken2_standard_0521-0.80	155
plant_sample_18-kraken2_standard_0521-0.60	245
plant_sample_18-kraken2_standard_0521-0.40	464
plant_sample_18-kraken2_standard_0521-0.55	281
plant_sample_18-kraken2_standard_0521-0.75	175
plant_sample_18-kraken2_standard_0521-0.45	395
plant_sample_18-kraken2_standard_0521-0.85	127
plant_sample_18-kraken2_standard_0521-0.30	625
plant_sample_18-kraken2_standard_0521-0.35	534
plant_sample_18-kraken2_standard_0521-0.50	339
plant_sample_18-kraken2_standard_0521-0.90	109
strain_sample_27-kraken2_standard_0521-0.40	107
plant_sample_18-kraken2_standard_0521-1.00	67
plant_sample_18-kraken2_standard_0521-0.95	92
strain_sample_27-kraken2_standard_0521-0.20	348
strain_sample_27-kraken2_standard_0521-0.15	566
strain_sample_27-kraken2_standard_0521-0.10	830
strain_sample_27-kraken2_standard_0521-0.25	228
strain_sample_27-kraken2_standard_0521-0.35	124
strain_sample_27-kraken2_standard_0521-0.30	142
strain_sample_27-kraken2_standard_0521-0.05	1386
strain_sample_27-kraken2_standard_0521-0.00	3922
strain_sample_27-kraken2_standard_0521-0.65	69
strain_sample_27-kraken2_standard_0521-0.90	39
strain_sample_27-kraken2_standard_0521-0.50	86
