Sample name	Number of taxa
strain_sample_97-kraken2_refseqV205-0.35	118
strain_sample_97-kraken2_refseqV205-0.30	142
strain_sample_97-kraken2_refseqV205-0.20	785
strain_sample_97-kraken2_refseqV205-0.40	94
strain_sample_97-kraken2_refseqV205-0.45	81
strain_sample_97-kraken2_refseqV205-0.50	71
strain_sample_97-kraken2_refseqV205-0.15	1478
strain_sample_97-kraken2_refseqV205-0.00	26606
strain_sample_97-kraken2_refseqV205-0.55	69
strain_sample_97-kraken2_refseqV205-0.10	2503
strain_sample_97-kraken2_refseqV205-0.05	6072
strain_sample_97-kraken2_refseqV205-1.00	18
strain_sample_97-kraken2_refseqV205-0.95	25
strain_sample_97-kraken2_refseqV205-0.60	65
strain_sample_97-kraken2_refseqV205-0.70	49
strain_sample_97-kraken2_refseqV205-0.65	58
strain_sample_97-kraken2_refseqV205-0.90	30
strain_sample_97-kraken2_refseqV205-0.80	40
strain_sample_97-kraken2_refseqV205-0.85	36
strain_sample_97-kraken2_refseqV205-0.75	44
strain_sample_64-kraken2_refseqV205-0.10	2456
strain_sample_64-kraken2_refseqV205-0.05	6067
strain_sample_64-kraken2_refseqV205-0.00	26611
strain_sample_64-kraken2_refseqV205-0.25	426
strain_sample_64-kraken2_refseqV205-0.30	136
strain_sample_64-kraken2_refseqV205-0.15	1453
strain_sample_64-kraken2_refseqV205-0.35	105
strain_sample_64-kraken2_refseqV205-0.20	846
strain_sample_64-kraken2_refseqV205-0.40	91
strain_sample_64-kraken2_refseqV205-0.45	77
strain_sample_64-kraken2_refseqV205-0.65	50
strain_sample_64-kraken2_refseqV205-0.70	45
strain_sample_64-kraken2_refseqV205-0.55	64
strain_sample_64-kraken2_refseqV205-0.50	69
strain_sample_64-kraken2_refseqV205-0.60	58
strain_sample_64-kraken2_refseqV205-0.75	42
strain_sample_64-kraken2_refseqV205-0.80	35
strain_sample_64-kraken2_refseqV205-0.85	33
strain_sample_64-kraken2_refseqV205-0.90	30
strain_sample_64-kraken2_refseqV205-0.95	21
strain_sample_64-kraken2_refseqV205-1.00	15
plant_sample_7-kraken2_refseqV205-0.25	1552
plant_sample_7-kraken2_refseqV205-0.20	2348
plant_sample_7-kraken2_refseqV205-0.15	4072
plant_sample_7-kraken2_refseqV205-0.05	13855
