Sample name	Proportion classified
strain_sample_55-kraken2_minikraken-0.45	0.00019773220988582917
strain_sample_55-kraken2_minikraken-0.65	7.512621956148526e-08
strain_sample_55-kraken2_minikraken-0.55	4.131942075881689e-06
strain_sample_55-kraken2_minikraken-0.60	7.512621956148526e-08
strain_sample_55-kraken2_minikraken-0.50	3.6661595146004805e-05
strain_sample_55-kraken2_minikraken-0.95	0
strain_sample_55-kraken2_minikraken-0.80	0
strain_sample_55-kraken2_minikraken-0.75	0
strain_sample_55-kraken2_minikraken-0.90	0
strain_sample_55-kraken2_minikraken-1.00	0
strain_sample_55-kraken2_minikraken-0.85	0
strain_sample_27-kraken2_minikraken-0.20	0.1436715819666379
strain_sample_27-kraken2_minikraken-0.25	0.06545644729465157
strain_sample_27-kraken2_minikraken-0.15	0.30711423440437496
strain_sample_27-kraken2_minikraken-0.10	0.5393548325050839
strain_sample_27-kraken2_minikraken-0.05	0.7823306158457979
strain_sample_27-kraken2_minikraken-0.00	0.9236996489300429
strain_sample_27-kraken2_minikraken-0.35	0.005586720199963966
strain_sample_27-kraken2_minikraken-0.30	0.02120334513484179
strain_sample_27-kraken2_minikraken-0.55	4.6582924593214615e-06
strain_sample_27-kraken2_minikraken-0.45	0.00020999882941618523
strain_sample_27-kraken2_minikraken-0.50	3.689067092785222e-05
strain_sample_27-kraken2_minikraken-0.40	0.0011957536208080815
strain_sample_27-kraken2_minikraken-0.65	0
strain_sample_27-kraken2_minikraken-0.70	0
strain_sample_27-kraken2_minikraken-0.80	0
strain_sample_27-kraken2_minikraken-0.85	0
strain_sample_27-kraken2_minikraken-0.75	0
strain_sample_27-kraken2_minikraken-0.60	7.513374934389454e-08
strain_sample_4-kraken2_minikraken-0.10	0.5397163722762278
strain_sample_27-kraken2_minikraken-0.95	0
strain_sample_27-kraken2_minikraken-0.90	0
strain_sample_27-kraken2_minikraken-1.00	0
strain_sample_4-kraken2_minikraken-0.05	0.7870857187512446
strain_sample_4-kraken2_minikraken-0.00	0.9338822643630399
strain_sample_4-kraken2_minikraken-0.30	0.020866918289276833
strain_sample_4-kraken2_minikraken-0.20	0.14254348229562175
strain_sample_4-kraken2_minikraken-0.15	0.30568119570583446
strain_sample_4-kraken2_minikraken-0.40	0.0011506361824096109
strain_sample_4-kraken2_minikraken-0.25	0.06480404319412937
strain_sample_4-kraken2_minikraken-0.35	0.005453968917118578
strain_sample_4-kraken2_minikraken-0.65	0
strain_sample_4-kraken2_minikraken-0.45	0.00019589293590686706
strain_sample_4-kraken2_minikraken-0.50	3.847226052332794e-05
strain_sample_4-kraken2_minikraken-0.70	0
strain_sample_4-kraken2_minikraken-0.55	4.508468030077493e-06
strain_sample_4-kraken2_minikraken-0.60	2.2542340150387464e-07
strain_sample_4-kraken2_minikraken-0.85	0
strain_sample_4-kraken2_minikraken-0.75	0
strain_sample_4-kraken2_minikraken-0.80	0
strain_sample_4-kraken2_minikraken-0.95	0
strain_sample_4-kraken2_minikraken-0.90	0
strain_sample_4-kraken2_minikraken-1.00	0
mouse_sample_29-kraken2_minikraken-0.15	0.09195515753291755
mouse_sample_29-kraken2_minikraken-0.20	0.04090135883380486
mouse_sample_29-kraken2_minikraken-0.25	0.018102738372249183
mouse_sample_29-kraken2_minikraken-0.10	0.17498913277431208
mouse_sample_29-kraken2_minikraken-0.05	0.28639517893855176
mouse_sample_29-kraken2_minikraken-0.00	0.3943968536174763
mouse_sample_29-kraken2_minikraken-0.35	0.0014683853163515944
mouse_sample_29-kraken2_minikraken-0.30	0.00567531752835024
mouse_sample_29-kraken2_minikraken-0.55	9.9367815932744e-07
mouse_sample_29-kraken2_minikraken-0.45	5.395973519741735e-05
mouse_sample_29-kraken2_minikraken-0.40	0.0003082811210664949
mouse_sample_29-kraken2_minikraken-0.50	1.0027115971395077e-05
mouse_sample_29-kraken2_minikraken-0.75	0
mouse_sample_29-kraken2_minikraken-0.80	0
mouse_sample_29-kraken2_minikraken-0.70	0
mouse_sample_29-kraken2_minikraken-0.85	0
mouse_sample_29-kraken2_minikraken-0.65	0
mouse_sample_29-kraken2_minikraken-0.60	9.033437812067638e-08
mouse_sample_29-kraken2_minikraken-1.00	0
mouse_sample_29-kraken2_minikraken-0.95	0
mouse_sample_29-kraken2_minikraken-0.90	0
strain_sample_62-kraken2_minikraken-0.10	0.5476461591954846
strain_sample_62-kraken2_minikraken-0.05	0.7956361781856092
strain_sample_62-kraken2_minikraken-0.00	0.940345870301567
strain_sample_62-kraken2_minikraken-0.15	0.3110661426726639
strain_sample_62-kraken2_minikraken-0.30	0.021292891190102897
strain_sample_62-kraken2_minikraken-0.25	0.06606949502016367
strain_sample_62-kraken2_minikraken-0.20	0.14538549592053418
strain_sample_62-kraken2_minikraken-0.40	0.0011852674620340259
strain_sample_62-kraken2_minikraken-0.35	0.005569314555378947
strain_sample_62-kraken2_minikraken-0.65	0
strain_sample_62-kraken2_minikraken-0.70	0
strain_sample_62-kraken2_minikraken-0.60	1.50262102184841e-07
strain_sample_62-kraken2_minikraken-0.50	3.854222921041172e-05
strain_sample_62-kraken2_minikraken-0.45	0.000203680279511552
strain_sample_62-kraken2_minikraken-0.55	1.4274899707559897e-06
strain_sample_62-kraken2_minikraken-0.95	0
strain_sample_62-kraken2_minikraken-0.85	0
strain_sample_62-kraken2_minikraken-0.90	0
strain_sample_62-kraken2_minikraken-0.75	0
strain_sample_62-kraken2_minikraken-0.80	0
strain_sample_62-kraken2_minikraken-1.00	0
strain_sample_10-kraken2_minikraken-0.05	0.7761450237426908
strain_sample_10-kraken2_minikraken-0.25	0.06439409365345304
strain_sample_10-kraken2_minikraken-0.10	0.5329447774119919
strain_sample_10-kraken2_minikraken-0.15	0.3027334712957563
strain_sample_10-kraken2_minikraken-0.20	0.14160814333946103
strain_sample_10-kraken2_minikraken-0.00	0.921981077678775
strain_sample_10-kraken2_minikraken-0.50	3.877093724533092e-05
strain_sample_10-kraken2_minikraken-0.45	0.00019791210989186366
strain_sample_10-kraken2_minikraken-0.35	0.005462945277827577
strain_sample_10-kraken2_minikraken-0.30	0.02083810143228558
strain_sample_10-kraken2_minikraken-0.40	0.0011449448483417685
strain_sample_10-kraken2_minikraken-0.55	3.982286189927401e-06
strain_sample_10-kraken2_minikraken-0.70	0
strain_sample_10-kraken2_minikraken-0.65	0
strain_sample_10-kraken2_minikraken-0.85	0
strain_sample_10-kraken2_minikraken-0.80	0
strain_sample_10-kraken2_minikraken-0.75	0
strain_sample_10-kraken2_minikraken-0.60	2.254124258449472e-07
strain_sample_10-kraken2_minikraken-1.00	0
strain_sample_10-kraken2_minikraken-0.90	0
strain_sample_10-kraken2_minikraken-0.95	0
plant_sample_13-kraken2_minikraken-0.10	0.2124671904564117
plant_sample_13-kraken2_minikraken-0.05	0.38444673492595655
plant_sample_13-kraken2_minikraken-0.00	0.569712208383423
plant_sample_13-kraken2_minikraken-0.25	0.01780078084232441
plant_sample_13-kraken2_minikraken-0.40	0.0002754392576433792
plant_sample_13-kraken2_minikraken-0.15	0.10199725041964033
plant_sample_13-kraken2_minikraken-0.20	0.04216301925698771
plant_sample_13-kraken2_minikraken-0.35	0.0013297358002761612
plant_sample_13-kraken2_minikraken-0.30	0.005369140637336005
plant_sample_13-kraken2_minikraken-0.50	9.293593646189582e-06
plant_sample_13-kraken2_minikraken-0.70	6.015270968407496e-08
plant_sample_13-kraken2_minikraken-0.45	4.7099571682630696e-05
plant_sample_13-kraken2_minikraken-0.60	3.6091625810444976e-07
plant_sample_13-kraken2_minikraken-0.65	1.2030541936814993e-07
plant_sample_13-kraken2_minikraken-0.55	1.563970451785949e-06
plant_sample_13-kraken2_minikraken-0.75	0
plant_sample_13-kraken2_minikraken-0.80	0
plant_sample_13-kraken2_minikraken-0.90	0
plant_sample_13-kraken2_minikraken-1.00	0
plant_sample_13-kraken2_minikraken-0.85	0
plant_sample_13-kraken2_minikraken-0.95	0
strain_sample_86-kraken2_minikraken-0.05	0.7839175278184749
strain_sample_86-kraken2_minikraken-0.25	0.06503261745862172
strain_sample_86-kraken2_minikraken-0.20	0.14287790531648645
strain_sample_86-kraken2_minikraken-0.15	0.30606206485256165
strain_sample_86-kraken2_minikraken-0.10	0.5386147604896797
strain_sample_86-kraken2_minikraken-0.00	0.9292124346132827
strain_sample_86-kraken2_minikraken-0.55	5.260395593772413e-06
strain_sample_86-kraken2_minikraken-0.35	0.005528525472037841
strain_sample_86-kraken2_minikraken-0.40	0.0011906529683961445
strain_sample_86-kraken2_minikraken-0.45	0.00021169334839509838
strain_sample_86-kraken2_minikraken-0.50	3.907722441088078e-05
strain_sample_86-kraken2_minikraken-0.30	0.020988677825118
strain_sample_86-kraken2_minikraken-0.65	0
strain_sample_86-kraken2_minikraken-0.60	4.5089105089477827e-07
strain_sample_86-kraken2_minikraken-0.75	0
strain_sample_86-kraken2_minikraken-0.70	0
strain_sample_86-kraken2_minikraken-0.80	0
strain_sample_86-kraken2_minikraken-0.85	0
strain_sample_86-kraken2_minikraken-1.00	0
strain_sample_86-kraken2_minikraken-0.95	0
strain_sample_86-kraken2_minikraken-0.90	0
strain_sample_49-kraken2_minikraken-0.10	0.5490673451086846
strain_sample_49-kraken2_minikraken-0.05	0.7952404010237946
strain_sample_49-kraken2_minikraken-0.00	0.9381465686634749
strain_sample_49-kraken2_minikraken-0.15	0.3127643401353367
strain_sample_49-kraken2_minikraken-0.30	0.021513002044313036
strain_sample_49-kraken2_minikraken-0.40	0.001203924996870336
strain_sample_49-kraken2_minikraken-0.20	0.1464114664275348
strain_sample_49-kraken2_minikraken-0.25	0.06666492337245075
strain_sample_49-kraken2_minikraken-0.35	0.0056405336343822105
strain_sample_49-kraken2_minikraken-0.70	0
strain_sample_49-kraken2_minikraken-0.65	0
strain_sample_49-kraken2_minikraken-0.50	3.99755397787429e-05
strain_sample_49-kraken2_minikraken-0.55	3.982525579461229e-06
strain_sample_49-kraken2_minikraken-0.60	7.514199206530621e-08
strain_sample_49-kraken2_minikraken-0.45	0.00020912016391774716
strain_sample_49-kraken2_minikraken-0.85	0
strain_sample_49-kraken2_minikraken-0.75	0
strain_sample_49-kraken2_minikraken-0.80	0
strain_sample_49-kraken2_minikraken-0.90	0
strain_sample_49-kraken2_minikraken-1.00	0
strain_sample_49-kraken2_minikraken-0.95	0
mouse_sample_35-kraken2_minikraken-0.25	0.02763125775412889
mouse_sample_35-kraken2_minikraken-0.10	0.24853953172337698
mouse_sample_35-kraken2_minikraken-0.20	0.06173270316683912
mouse_sample_35-kraken2_minikraken-0.15	0.1358668303365716
mouse_sample_35-kraken2_minikraken-0.05	0.38178183667786647
mouse_sample_35-kraken2_minikraken-0.00	0.48833647048714296
mouse_sample_35-kraken2_minikraken-0.35	0.002272224525767736
mouse_sample_35-kraken2_minikraken-0.40	0.00047031697315204145
mouse_sample_35-kraken2_minikraken-0.45	7.43890202890705e-05
mouse_sample_35-kraken2_minikraken-0.55	9.340055200328818e-07
mouse_sample_35-kraken2_minikraken-0.30	0.008793360679006346
mouse_sample_35-kraken2_minikraken-0.50	1.2895302018518497e-05
mouse_sample_35-kraken2_minikraken-0.70	0
