Sample name	Pielou evenness
plant_sample_6-kraken2_minikraken-1.00	nan
plant_sample_6-kraken2_minikraken-0.85	nan
mouse_sample_9-kraken2_minikraken-0.30	0.38007786671884286
mouse_sample_9-kraken2_minikraken-0.50	0.4282796601009881
mouse_sample_9-kraken2_minikraken-0.10	0.33236501311968353
mouse_sample_9-kraken2_minikraken-0.25	0.3681452085944787
mouse_sample_9-kraken2_minikraken-0.40	0.41778826939223773
mouse_sample_9-kraken2_minikraken-0.35	0.39465050477141433
mouse_sample_9-kraken2_minikraken-0.45	0.4288935449234658
mouse_sample_9-kraken2_minikraken-0.15	0.3560150798015713
mouse_sample_9-kraken2_minikraken-0.20	0.3570272713221331
mouse_sample_9-kraken2_minikraken-0.55	0.5863285964124189
mouse_sample_9-kraken2_minikraken-0.00	0.228493291384067
mouse_sample_9-kraken2_minikraken-0.05	0.2675222244411796
mouse_sample_9-kraken2_minikraken-0.80	nan
mouse_sample_9-kraken2_minikraken-0.95	nan
mouse_sample_9-kraken2_minikraken-0.65	nan
mouse_sample_9-kraken2_minikraken-0.90	nan
mouse_sample_9-kraken2_minikraken-0.75	nan
mouse_sample_9-kraken2_minikraken-1.00	nan
mouse_sample_9-kraken2_minikraken-0.85	nan
mouse_sample_9-kraken2_minikraken-0.70	nan
mouse_sample_2-kraken2_minikraken-0.05	0.31491784619107993
mouse_sample_2-kraken2_minikraken-0.00	0.28210622447591654
mouse_sample_9-kraken2_minikraken-0.60	0.7219280948873623
mouse_sample_2-kraken2_minikraken-0.10	0.37967623943646134
mouse_sample_2-kraken2_minikraken-0.20	0.43947335374188173
mouse_sample_2-kraken2_minikraken-0.40	0.5250176437476609
mouse_sample_2-kraken2_minikraken-0.15	0.4163049728242142
mouse_sample_2-kraken2_minikraken-0.30	0.4860711958462271
mouse_sample_2-kraken2_minikraken-0.25	0.45955642484266856
mouse_sample_2-kraken2_minikraken-0.50	0.5887602228231552
mouse_sample_2-kraken2_minikraken-0.55	0.7744712073732605
mouse_sample_2-kraken2_minikraken-0.70	nan
mouse_sample_2-kraken2_minikraken-0.60	nan
mouse_sample_2-kraken2_minikraken-0.65	nan
mouse_sample_2-kraken2_minikraken-0.45	0.5577414890082014
mouse_sample_2-kraken2_minikraken-0.35	0.5141191838233216
mouse_sample_2-kraken2_minikraken-0.75	nan
mouse_sample_2-kraken2_minikraken-0.95	nan
strain_sample_17-kraken2_minikraken-0.05	0.2199410926216962
mouse_sample_2-kraken2_minikraken-0.90	nan
mouse_sample_2-kraken2_minikraken-0.85	nan
mouse_sample_2-kraken2_minikraken-0.80	nan
strain_sample_17-kraken2_minikraken-0.00	0.1983521453573677
strain_sample_17-kraken2_minikraken-0.20	0.3088251596570586
mouse_sample_2-kraken2_minikraken-1.00	nan
strain_sample_17-kraken2_minikraken-0.10	0.25282456940456227
strain_sample_17-kraken2_minikraken-0.25	0.33568147787464314
strain_sample_17-kraken2_minikraken-0.15	0.2843789272207023
strain_sample_17-kraken2_minikraken-0.35	0.4117863304800838
strain_sample_17-kraken2_minikraken-0.45	0.5589215593839311
strain_sample_17-kraken2_minikraken-0.30	0.3713061501867428
strain_sample_17-kraken2_minikraken-0.50	0.6369483097000841
strain_sample_17-kraken2_minikraken-0.65	nan
strain_sample_17-kraken2_minikraken-0.40	0.43083283716355325
strain_sample_17-kraken2_minikraken-0.85	nan
strain_sample_17-kraken2_minikraken-0.75	nan
strain_sample_17-kraken2_minikraken-0.55	0.5799864491067596
strain_sample_17-kraken2_minikraken-0.70	nan
strain_sample_17-kraken2_minikraken-0.60	nan
strain_sample_17-kraken2_minikraken-0.80	nan
mouse_sample_54-kraken2_minikraken-0.10	0.6027536681152612
strain_sample_17-kraken2_minikraken-0.90	nan
strain_sample_17-kraken2_minikraken-1.00	nan
strain_sample_17-kraken2_minikraken-0.95	nan
mouse_sample_54-kraken2_minikraken-0.35	0.7010054762842856
mouse_sample_54-kraken2_minikraken-0.25	0.6521457159064965
mouse_sample_54-kraken2_minikraken-0.05	0.5186642392508252
mouse_sample_54-kraken2_minikraken-0.30	0.6809296095172319
mouse_sample_54-kraken2_minikraken-0.20	0.6379638218970312
mouse_sample_54-kraken2_minikraken-0.40	0.732470015845069
mouse_sample_54-kraken2_minikraken-0.15	0.6264595421418092
mouse_sample_54-kraken2_minikraken-0.00	0.4781642699484392
mouse_sample_54-kraken2_minikraken-0.45	0.7166000867010274
mouse_sample_54-kraken2_minikraken-0.60	nan
mouse_sample_54-kraken2_minikraken-0.90	nan
mouse_sample_54-kraken2_minikraken-1.00	nan
mouse_sample_54-kraken2_minikraken-0.95	nan
mouse_sample_54-kraken2_minikraken-0.50	0.8194050964805191
mouse_sample_54-kraken2_minikraken-0.55	0.9138646883853214
mouse_sample_54-kraken2_minikraken-0.85	nan
mouse_sample_54-kraken2_minikraken-0.80	nan
mouse_sample_54-kraken2_minikraken-0.70	nan
mouse_sample_54-kraken2_minikraken-0.65	nan
mouse_sample_54-kraken2_minikraken-0.75	nan
strain_sample_72-kraken2_minikraken-0.30	0.37767548439546
strain_sample_72-kraken2_minikraken-0.15	0.29241986374423395
strain_sample_72-kraken2_minikraken-0.50	0.639858363307524
strain_sample_72-kraken2_minikraken-0.10	0.2602847885603442
strain_sample_72-kraken2_minikraken-0.55	0.9940302114769566
strain_sample_72-kraken2_minikraken-0.05	0.23040578137993803
strain_sample_72-kraken2_minikraken-0.40	0.46397784497277716
strain_sample_72-kraken2_minikraken-0.45	0.5623903698419541
strain_sample_72-kraken2_minikraken-0.20	0.3195458664549475
strain_sample_72-kraken2_minikraken-0.35	0.41374241973492104
strain_sample_72-kraken2_minikraken-0.25	0.3409027347144681
strain_sample_72-kraken2_minikraken-0.00	0.20380022441994822
strain_sample_72-kraken2_minikraken-0.60	nan
strain_sample_72-kraken2_minikraken-0.70	nan
strain_sample_72-kraken2_minikraken-0.90	nan
strain_sample_72-kraken2_minikraken-0.65	nan
strain_sample_72-kraken2_minikraken-0.95	nan
strain_sample_72-kraken2_minikraken-0.85	nan
strain_sample_72-kraken2_minikraken-1.00	nan
strain_sample_72-kraken2_minikraken-0.75	nan
strain_sample_72-kraken2_minikraken-0.80	nan
