Sample name	Number of taxa
mouse_sample_22-kraken2_refseqV208_nt-0.25	198
mouse_sample_22-kraken2_refseqV208_nt-0.35	159
mouse_sample_22-kraken2_refseqV208_nt-0.30	169
mouse_sample_22-kraken2_refseqV208_nt-0.55	127
mouse_sample_22-kraken2_refseqV208_nt-1.00	69
mouse_sample_22-kraken2_refseqV208_nt-0.85	98
mouse_sample_22-kraken2_refseqV208_nt-0.90	89
mouse_sample_22-kraken2_refseqV208_nt-0.95	75
strain_sample_11-kraken2_refseqV208_nt-0.10	390
strain_sample_11-kraken2_refseqV208_nt-0.25	74
strain_sample_11-kraken2_refseqV208_nt-0.20	135
strain_sample_11-kraken2_refseqV208_nt-0.15	227
strain_sample_11-kraken2_refseqV208_nt-0.05	1064
mouse_sample_22-kraken2_refseqV208_nt-0.80	102
mouse_sample_22-kraken2_refseqV208_nt-0.75	108
strain_sample_11-kraken2_refseqV208_nt-0.00	4420
strain_sample_11-kraken2_refseqV208_nt-0.55	29
strain_sample_11-kraken2_refseqV208_nt-0.70	24
strain_sample_11-kraken2_refseqV208_nt-0.30	42
strain_sample_11-kraken2_refseqV208_nt-0.40	35
strain_sample_11-kraken2_refseqV208_nt-0.35	39
strain_sample_11-kraken2_refseqV208_nt-0.75	24
strain_sample_11-kraken2_refseqV208_nt-0.85	21
strain_sample_11-kraken2_refseqV208_nt-0.80	21
strain_sample_11-kraken2_refseqV208_nt-0.50	31
strain_sample_11-kraken2_refseqV208_nt-0.45	32
strain_sample_11-kraken2_refseqV208_nt-0.60	26
strain_sample_11-kraken2_refseqV208_nt-0.65	25
strain_sample_11-kraken2_refseqV208_nt-0.95	18
strain_sample_11-kraken2_refseqV208_nt-0.90	20
plant_sample_13-kraken2_refseqV208_nt-0.35	186
plant_sample_13-kraken2_refseqV208_nt-0.40	159
strain_sample_11-kraken2_refseqV208_nt-1.00	17
plant_sample_13-kraken2_refseqV208_nt-0.20	378
plant_sample_13-kraken2_refseqV208_nt-0.10	1082
plant_sample_13-kraken2_refseqV208_nt-0.30	226
plant_sample_13-kraken2_refseqV208_nt-0.25	279
