Sample name	Precision taxa
strain_sample_69-kraken2_refseqV205_100GB-1.00	0
strain_sample_18-kraken2_refseqV205_100GB-0.05	0.046822742474916385
strain_sample_18-kraken2_refseqV205_100GB-0.10	0.2978723404255319
strain_sample_18-kraken2_refseqV205_100GB-0.00	0.011776251226692836
strain_sample_18-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_18-kraken2_refseqV205_100GB-0.35	0
strain_sample_18-kraken2_refseqV205_100GB-0.40	0
strain_sample_18-kraken2_refseqV205_100GB-0.15	0.4642857142857143
strain_sample_18-kraken2_refseqV205_100GB-0.20	0.631578947368421
strain_sample_18-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_18-kraken2_refseqV205_100GB-0.65	0
strain_sample_18-kraken2_refseqV205_100GB-0.55	0
strain_sample_18-kraken2_refseqV205_100GB-0.50	0
strain_sample_18-kraken2_refseqV205_100GB-0.60	0
strain_sample_18-kraken2_refseqV205_100GB-0.70	0
strain_sample_18-kraken2_refseqV205_100GB-0.45	0
strain_sample_18-kraken2_refseqV205_100GB-0.75	0
strain_sample_18-kraken2_refseqV205_100GB-0.80	0
strain_sample_18-kraken2_refseqV205_100GB-0.85	0
strain_sample_18-kraken2_refseqV205_100GB-0.90	0
strain_sample_18-kraken2_refseqV205_100GB-0.95	0
strain_sample_18-kraken2_refseqV205_100GB-1.00	0
mouse_sample_25-kraken2_refseqV205_100GB-0.25	0.3835616438356164
mouse_sample_25-kraken2_refseqV205_100GB-0.10	0.25203252032520324
mouse_sample_25-kraken2_refseqV205_100GB-0.15	0.3263157894736842
mouse_sample_25-kraken2_refseqV205_100GB-0.20	0.36904761904761907
mouse_sample_25-kraken2_refseqV205_100GB-0.05	0.06956521739130435
mouse_sample_25-kraken2_refseqV205_100GB-0.00	0.012588512981904013
mouse_sample_25-kraken2_refseqV205_100GB-0.50	0
mouse_sample_25-kraken2_refseqV205_100GB-0.45	0
mouse_sample_25-kraken2_refseqV205_100GB-0.55	0
mouse_sample_25-kraken2_refseqV205_100GB-0.30	0.4594594594594595
mouse_sample_25-kraken2_refseqV205_100GB-0.40	0.3333333333333333
