Sample name	Robust Aitchisons distance
mouse_sample_37-kraken2_refseqV208_nt-0.90	28.867602503577523
mouse_sample_37-kraken2_refseqV208_nt-0.75	25.21790086002894
mouse_sample_37-kraken2_refseqV208_nt-0.80	26.828236863007106
mouse_sample_37-kraken2_refseqV208_nt-0.95	31.06874810787379
strain_sample_78-kraken2_refseqV208_nt-0.20	3.577482085823625
strain_sample_78-kraken2_refseqV208_nt-0.15	3.1662581260576843
strain_sample_78-kraken2_refseqV208_nt-0.10	2.818750713854054
strain_sample_78-kraken2_refseqV208_nt-0.25	3.913876624668873
strain_sample_78-kraken2_refseqV208_nt-0.05	2.9138431370902453
strain_sample_78-kraken2_refseqV208_nt-0.00	3.8247107638157005
strain_sample_78-kraken2_refseqV208_nt-0.50	6.325459839660023
strain_sample_78-kraken2_refseqV208_nt-0.35	4.800449946166399
strain_sample_78-kraken2_refseqV208_nt-0.55	7.00708701613831
strain_sample_78-kraken2_refseqV208_nt-0.45	5.86529179304725
strain_sample_78-kraken2_refseqV208_nt-0.40	5.3042146075398735
strain_sample_78-kraken2_refseqV208_nt-0.30	4.354383544098942
strain_sample_78-kraken2_refseqV208_nt-0.65	8.82283358801482
strain_sample_78-kraken2_refseqV208_nt-0.70	9.811589418788719
strain_sample_78-kraken2_refseqV208_nt-0.80	12.27790613987936
strain_sample_78-kraken2_refseqV208_nt-0.85	13.887411417079988
strain_sample_78-kraken2_refseqV208_nt-0.75	10.830768032442014
strain_sample_78-kraken2_refseqV208_nt-0.60	7.812515604821183
strain_sample_78-kraken2_refseqV208_nt-1.00	19.499850845102053
strain_sample_78-kraken2_refseqV208_nt-0.90	15.732193787238954
strain_sample_78-kraken2_refseqV208_nt-0.95	18.326554866880173
strain_sample_94-kraken2_refseqV208_nt-0.10	2.1804361740048495
strain_sample_94-kraken2_refseqV208_nt-0.05	2.1106407075762252
strain_sample_94-kraken2_refseqV208_nt-0.00	2.8780039385147616
strain_sample_94-kraken2_refseqV208_nt-0.40	5.512550280714075
strain_sample_94-kraken2_refseqV208_nt-0.20	3.2613618118068275
strain_sample_94-kraken2_refseqV208_nt-0.25	3.820194653423426
strain_sample_94-kraken2_refseqV208_nt-0.35	5.061086035102433
strain_sample_94-kraken2_refseqV208_nt-0.30	4.549596953809318
strain_sample_94-kraken2_refseqV208_nt-0.15	2.7411929076352646
strain_sample_94-kraken2_refseqV208_nt-0.55	4.68443139642658
strain_sample_94-kraken2_refseqV208_nt-0.65	6.220221045640334
strain_sample_94-kraken2_refseqV208_nt-0.45	5.7817010762666445
strain_sample_94-kraken2_refseqV208_nt-0.70	7.1881699652104
strain_sample_94-kraken2_refseqV208_nt-0.60	5.396276377906673
strain_sample_94-kraken2_refseqV208_nt-0.50	5.8566925393834985
strain_sample_94-kraken2_refseqV208_nt-0.80	9.605951607626846
strain_sample_94-kraken2_refseqV208_nt-0.90	13.051767210898316
strain_sample_94-kraken2_refseqV208_nt-1.00	17.41260036976902
strain_sample_94-kraken2_refseqV208_nt-0.75	8.20393830361528
strain_sample_94-kraken2_refseqV208_nt-0.95	14.700017199394173
strain_sample_94-kraken2_refseqV208_nt-0.85	11.218401183638797
strain_sample_46-kraken2_refseqV208_nt-0.20	4.0203256639766005
strain_sample_46-kraken2_refseqV208_nt-0.10	3.2666508766300937
strain_sample_46-kraken2_refseqV208_nt-0.25	4.415112163249612
strain_sample_46-kraken2_refseqV208_nt-0.15	3.6777099807999516
strain_sample_46-kraken2_refseqV208_nt-0.05	2.917265669210044
strain_sample_46-kraken2_refseqV208_nt-0.00	2.9320202806746374
strain_sample_46-kraken2_refseqV208_nt-0.40	5.632980762795905
strain_sample_46-kraken2_refseqV208_nt-0.35	5.263337910428488
strain_sample_46-kraken2_refseqV208_nt-0.55	7.311608600784398
strain_sample_46-kraken2_refseqV208_nt-0.50	6.495750823680374
strain_sample_46-kraken2_refseqV208_nt-0.45	6.0942087695417895
strain_sample_46-kraken2_refseqV208_nt-0.30	4.8800861045687505
strain_sample_46-kraken2_refseqV208_nt-0.75	11.015677345079178
strain_sample_46-kraken2_refseqV208_nt-0.65	9.14129547961122
strain_sample_46-kraken2_refseqV208_nt-0.80	12.378595584244287
strain_sample_46-kraken2_refseqV208_nt-0.70	9.635996405632794
strain_sample_46-kraken2_refseqV208_nt-0.85	11.055911774256748
strain_sample_46-kraken2_refseqV208_nt-0.60	7.90673386931577
strain_sample_46-kraken2_refseqV208_nt-0.90	12.575099770933349
strain_sample_46-kraken2_refseqV208_nt-1.00	17.13057470656773
strain_sample_46-kraken2_refseqV208_nt-0.95	14.716584219985302
marine_sample_6-kraken2_refseqV208_nt-0.10	12.491912636882779
marine_sample_6-kraken2_refseqV208_nt-0.05	10.7905170615047
marine_sample_6-kraken2_refseqV208_nt-0.00	8.685801349904516
marine_sample_6-kraken2_refseqV208_nt-0.30	18.83115925856824
marine_sample_6-kraken2_refseqV208_nt-0.20	15.698805056177662
