Sample name	Faith's phylogenetic diversity
Huttenhower_LC2-kraken2_chocophlan-0.15	1380.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.50	1919.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.05	7743.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-1.00	1229.5
Huttenhower_LC2-kraken2_chocophlan-0.10	2275.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.00	10866.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.85	1400.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.30	2547.0
Huttenhower_LC2-kraken2_chocophlan-0.05	4270.0
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-1.00	1266.5
Huttenhower_LC2-kraken2_chocophlan-0.25	653.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.20	3136.0
Huttenhower_LC2-kraken2_chocophlan-0.60	259.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-1.00	52.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.85	62.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.80	64.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.25	186.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.35	129.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.20	2463.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.15	2944.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.70	71.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.30	154.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.05	6273.0
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.20	234.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.10	3963.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.50	104.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.75	66.5
Huttenhower_LC2-kraken2_chocophlan-0.80	215.5
Huttenhower_LC2-kraken2_chocophlan-0.55	273.5
