Sample name	Faith's phylogenetic diversity
Huttenhower_HC1-kraken2_standard_0521-0.10	2829.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.90	531.0
Huttenhower_HC1-kraken2_standard_0521-0.15	1969.0
Huttenhower_HC1-kraken2_standard_0521-0.20	1390.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-1.00	465.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.95	488.0
Huttenhower_HC1-kraken2_standard_0521-0.05	4145.0
Huttenhower_HC1-kraken2_standard_0521-0.00	4807.0
Huttenhower_HC1-kraken2_standard_0521-0.70	435.0
Huttenhower_HC1-kraken2_standard_0521-0.75	426.0
Huttenhower_HC1-kraken2_standard_0521-0.30	801.0
Huttenhower_HC1-kraken2_standard_0521-0.65	447.0
Huttenhower_HC1-kraken2_standard_0521-0.45	530.0
Huttenhower_HC1-kraken2_standard_0521-0.55	476.0
Huttenhower_HC1-kraken2_standard_0521-0.60	456.0
Huttenhower_HC1-kraken2_standard_0521-0.35	665.0
Huttenhower_HC1-kraken2_standard_0521-0.50	501.0
Huttenhower_HC1-kraken2_standard_0521-0.40	581.0
Huttenhower_HC1-kraken2_standard_0521-0.95	400.0
Huttenhower_HC1-kraken2_standard_0521-0.80	420.0
Huttenhower_HC1-kraken2_standard_0521-1.00	399.0
Huttenhower_HC1-kraken2_standard_0521-0.85	410.0
Huttenhower_HC1-kraken2_standard_0521-0.90	405.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.20	1156.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.15	1467.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.10	2276.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.05	4419.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.00	8345.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.30	845.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.50	661.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.60	580.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.40	708.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.45	679.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.55	627.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.70	510.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.65	533.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.35	766.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.25	975.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-1.00	323.5
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.95	351.5
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.75	467.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.85	421.0
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.90	380.5
ani100_cLOW_stTrue_r6-kraken2_standard_0521-0.80	450.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.10	2420.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.15	1679.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.05	4497.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.00	8572.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.50	797.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.45	834.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.35	947.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.55	756.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.65	682.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.20	1334.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.25	1156.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.60	716.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.40	888.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.30	1033.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.90	555.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-1.00	496.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.70	657.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.95	518.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.85	583.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.75	635.0
ani99_cLOW_stFalse_r7-kraken2_standard_0521-0.80	603.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.10	4978.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.05	7116.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.00	10121.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.60	2174.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.35	2792.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.50	2407.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.30	2984.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.55	2285.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.45	2492.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.25	3230.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.20	3495.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.15	4027.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.40	2631.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.85	1787.0
Huttenhower_LC1-kraken2_standard_0521-0.05	1212.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.80	1848.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.65	2078.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-1.00	1579.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.75	1922.0
Huttenhower_LC1-kraken2_standard_0521-0.00	1444.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.90	1726.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.70	1976.0
ani99_cHIGH_stTrue_r7-kraken2_standard_0521-0.95	1646.0
Huttenhower_LC1-kraken2_standard_0521-0.10	796.0
Huttenhower_LC1-kraken2_standard_0521-0.50	170.0
Huttenhower_LC1-kraken2_standard_0521-0.30	252.0
Huttenhower_LC1-kraken2_standard_0521-0.25	332.0
Huttenhower_LC1-kraken2_standard_0521-0.35	220.0
Huttenhower_LC1-kraken2_standard_0521-0.55	166.0
Huttenhower_LC1-kraken2_standard_0521-0.45	177.0
Huttenhower_LC1-kraken2_standard_0521-0.20	427.0
Huttenhower_LC1-kraken2_standard_0521-0.40	188.0
Huttenhower_LC1-kraken2_standard_0521-0.15	575.0
Huttenhower_LC1-kraken2_standard_0521-0.95	130.5
Huttenhower_LC1-kraken2_standard_0521-0.85	131.5
Huttenhower_LC1-kraken2_standard_0521-0.80	131.5
Huttenhower_LC1-kraken2_standard_0521-0.70	135.5
Huttenhower_LC1-kraken2_standard_0521-1.00	130.5
Huttenhower_LC1-kraken2_standard_0521-0.75	132.5
Huttenhower_LC1-kraken2_standard_0521-0.90	130.5
Huttenhower_LC1-kraken2_standard_0521-0.60	138.5
Huttenhower_LC1-kraken2_standard_0521-0.65	138.5
ani97_cHIGH_stFalse_r6-kraken2_standard_0521-0.00	9883.0
