Sample name	Simpson's diversity
mouse_sample_25-kraken2_refseqV205_100GB-0.40	0.6666666666666667
mouse_sample_25-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.35	0.7937699380746857
mouse_sample_25-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_25-kraken2_refseqV205_100GB-1.00	nan
plant_sample_5-kraken2_refseqV205_100GB-0.05	0.7118268190548342
plant_sample_5-kraken2_refseqV205_100GB-0.10	0.6844399077169038
plant_sample_5-kraken2_refseqV205_100GB-0.00	0.7114801486877347
plant_sample_5-kraken2_refseqV205_100GB-0.25	0.6265689733409747
plant_sample_5-kraken2_refseqV205_100GB-0.15	0.6627410015568953
plant_sample_5-kraken2_refseqV205_100GB-0.30	0.6064658475360021
plant_sample_5-kraken2_refseqV205_100GB-0.40	nan
plant_sample_5-kraken2_refseqV205_100GB-0.20	0.6413726940108583
plant_sample_5-kraken2_refseqV205_100GB-0.35	0.366691015339664
plant_sample_5-kraken2_refseqV205_100GB-0.55	nan
plant_sample_5-kraken2_refseqV205_100GB-0.50	nan
plant_sample_5-kraken2_refseqV205_100GB-0.65	nan
plant_sample_5-kraken2_refseqV205_100GB-0.45	nan
plant_sample_5-kraken2_refseqV205_100GB-0.60	nan
plant_sample_5-kraken2_refseqV205_100GB-0.70	nan
plant_sample_5-kraken2_refseqV205_100GB-0.95	nan
plant_sample_5-kraken2_refseqV205_100GB-0.80	nan
plant_sample_5-kraken2_refseqV205_100GB-0.85	nan
plant_sample_5-kraken2_refseqV205_100GB-0.75	nan
plant_sample_5-kraken2_refseqV205_100GB-1.00	nan
plant_sample_5-kraken2_refseqV205_100GB-0.90	nan
strain_sample_85-kraken2_refseqV205_100GB-0.15	0.6228244214122779
strain_sample_85-kraken2_refseqV205_100GB-0.25	0.3416067118686177
strain_sample_85-kraken2_refseqV205_100GB-0.10	0.6390935846248652
strain_sample_85-kraken2_refseqV205_100GB-0.05	0.6772181720067192
strain_sample_85-kraken2_refseqV205_100GB-0.20	0.498211060832644
strain_sample_85-kraken2_refseqV205_100GB-0.00	0.7528726257640107
strain_sample_85-kraken2_refseqV205_100GB-0.30	0.39475041322314053
strain_sample_85-kraken2_refseqV205_100GB-0.40	nan
strain_sample_85-kraken2_refseqV205_100GB-0.45	nan
strain_sample_85-kraken2_refseqV205_100GB-0.50	nan
strain_sample_85-kraken2_refseqV205_100GB-0.55	nan
strain_sample_85-kraken2_refseqV205_100GB-0.35	nan
strain_sample_85-kraken2_refseqV205_100GB-0.75	nan
strain_sample_85-kraken2_refseqV205_100GB-0.60	nan
strain_sample_85-kraken2_refseqV205_100GB-0.65	nan
strain_sample_85-kraken2_refseqV205_100GB-0.70	nan
strain_sample_85-kraken2_refseqV205_100GB-0.85	nan
strain_sample_85-kraken2_refseqV205_100GB-0.80	nan
plant_sample_13-kraken2_refseqV205_100GB-0.10	0.7290634182784372
strain_sample_85-kraken2_refseqV205_100GB-0.90	nan
strain_sample_85-kraken2_refseqV205_100GB-1.00	nan
strain_sample_85-kraken2_refseqV205_100GB-0.95	nan
plant_sample_13-kraken2_refseqV205_100GB-0.05	0.7580195012296981
plant_sample_13-kraken2_refseqV205_100GB-0.00	0.7635195270541422
plant_sample_13-kraken2_refseqV205_100GB-0.15	0.7003682396044395
plant_sample_13-kraken2_refseqV205_100GB-0.35	0.6208761492698756
plant_sample_13-kraken2_refseqV205_100GB-0.30	0.6362012803030026
plant_sample_13-kraken2_refseqV205_100GB-0.20	0.6782080395067294
plant_sample_13-kraken2_refseqV205_100GB-0.25	0.6610202196557782
plant_sample_13-kraken2_refseqV205_100GB-0.40	nan
plant_sample_13-kraken2_refseqV205_100GB-0.55	nan
plant_sample_13-kraken2_refseqV205_100GB-0.45	nan
plant_sample_13-kraken2_refseqV205_100GB-0.65	nan
plant_sample_13-kraken2_refseqV205_100GB-0.60	nan
plant_sample_13-kraken2_refseqV205_100GB-0.70	nan
plant_sample_13-kraken2_refseqV205_100GB-0.50	nan
plant_sample_13-kraken2_refseqV205_100GB-0.85	nan
plant_sample_13-kraken2_refseqV205_100GB-0.75	nan
plant_sample_13-kraken2_refseqV205_100GB-1.00	nan
plant_sample_13-kraken2_refseqV205_100GB-0.80	nan
plant_sample_13-kraken2_refseqV205_100GB-0.95	nan
plant_sample_13-kraken2_refseqV205_100GB-0.90	nan
strain_sample_34-kraken2_refseqV205_100GB-0.25	0.6283440416455839
strain_sample_34-kraken2_refseqV205_100GB-0.20	0.5641380252761112
strain_sample_34-kraken2_refseqV205_100GB-0.10	0.6432228865118299
strain_sample_34-kraken2_refseqV205_100GB-0.15	0.6115278143241822
strain_sample_34-kraken2_refseqV205_100GB-0.05	0.6819889127027666
strain_sample_34-kraken2_refseqV205_100GB-0.00	0.6352055663485043
strain_sample_34-kraken2_refseqV205_100GB-0.35	0.5
strain_sample_34-kraken2_refseqV205_100GB-0.30	0.6635828563995838
