Sample name	L1 distance
plant_sample_18-kraken2_refseqV205-0.95	29023124.0
plant_sample_18-kraken2_refseqV205-1.00	29239732.0
plant_sample_18-kraken2_refseqV205-0.80	27879392.0
plant_sample_18-kraken2_refseqV205-0.90	28713583.0
plant_sample_18-kraken2_refseqV205-0.85	28364212.0
plant_sample_13-kraken2_refseqV205-0.25	36367137.0
plant_sample_13-kraken2_refseqV205-0.20	37418766.0
plant_sample_13-kraken2_refseqV205-0.15	38513850.0
plant_sample_13-kraken2_refseqV205-0.10	39471641.0
plant_sample_13-kraken2_refseqV205-0.05	40484429.0
plant_sample_13-kraken2_refseqV205-0.00	41781323.0
plant_sample_13-kraken2_refseqV205-0.70	26856390.0
plant_sample_13-kraken2_refseqV205-0.65	26521148.0
plant_sample_13-kraken2_refseqV205-0.85	29137717.0
plant_sample_13-kraken2_refseqV205-0.75	27669510.0
plant_sample_13-kraken2_refseqV205-0.80	28539660.0
plant_sample_13-kraken2_refseqV205-0.40	31565428.0
plant_sample_13-kraken2_refseqV205-0.60	26066027.0
plant_sample_13-kraken2_refseqV205-0.55	26879605.0
plant_sample_13-kraken2_refseqV205-0.45	29919393.0
plant_sample_13-kraken2_refseqV205-0.50	28511404.0
plant_sample_13-kraken2_refseqV205-0.30	34883801.0
plant_sample_13-kraken2_refseqV205-0.35	33232070.0
plant_sample_13-kraken2_refseqV205-1.00	30170268.0
plant_sample_13-kraken2_refseqV205-0.90	29555457.0
plant_sample_13-kraken2_refseqV205-0.95	29911252.0
mouse_sample_27-kraken2_refseqV205-0.35	14484736.0
mouse_sample_27-kraken2_refseqV205-0.30	13572664.0
mouse_sample_27-kraken2_refseqV205-0.40	16004852.0
mouse_sample_27-kraken2_refseqV205-0.25	12908909.0
mouse_sample_27-kraken2_refseqV205-0.20	12464711.0
mouse_sample_27-kraken2_refseqV205-0.15	12520606.0
mouse_sample_27-kraken2_refseqV205-0.10	12573597.0
mouse_sample_27-kraken2_refseqV205-0.05	12653185.0
mouse_sample_27-kraken2_refseqV205-0.00	13209696.0
mouse_sample_27-kraken2_refseqV205-0.60	23151270.0
mouse_sample_27-kraken2_refseqV205-0.70	27149691.0
mouse_sample_27-kraken2_refseqV205-0.65	25123709.0
mouse_sample_27-kraken2_refseqV205-0.75	28538874.0
mouse_sample_27-kraken2_refseqV205-0.80	29967391.0
mouse_sample_27-kraken2_refseqV205-0.95	32316156.0
mouse_sample_27-kraken2_refseqV205-0.50	19281528.0
mouse_sample_27-kraken2_refseqV205-0.55	21242490.0
mouse_sample_27-kraken2_refseqV205-0.45	17658997.0
mouse_sample_27-kraken2_refseqV205-0.85	30990392.0
mouse_sample_27-kraken2_refseqV205-0.90	31726549.0
mouse_sample_27-kraken2_refseqV205-1.00	32775380.0
strain_sample_97-kraken2_refseqV205-0.25	6472562.0
strain_sample_97-kraken2_refseqV205-0.35	6066761.0
strain_sample_97-kraken2_refseqV205-0.50	6072426.0
strain_sample_97-kraken2_refseqV205-0.40	5962985.0
strain_sample_97-kraken2_refseqV205-0.55	6141213.0
strain_sample_97-kraken2_refseqV205-0.30	6084862.0
strain_sample_97-kraken2_refseqV205-0.45	6013106.0
strain_sample_97-kraken2_refseqV205-0.20	7148602.0
strain_sample_97-kraken2_refseqV205-0.15	8004383.0
strain_sample_97-kraken2_refseqV205-0.10	8041140.0
strain_sample_97-kraken2_refseqV205-0.05	7961002.0
strain_sample_97-kraken2_refseqV205-0.00	8033349.0
strain_sample_97-kraken2_refseqV205-0.60	7135695.0
strain_sample_97-kraken2_refseqV205-0.65	8175847.0
strain_sample_97-kraken2_refseqV205-0.95	12477519.0
strain_sample_97-kraken2_refseqV205-1.00	12723296.0
strain_sample_97-kraken2_refseqV205-0.70	9172134.0
strain_sample_97-kraken2_refseqV205-0.90	12102076.0
strain_sample_97-kraken2_refseqV205-0.80	10911803.0
strain_sample_97-kraken2_refseqV205-0.85	11621494.0
strain_sample_97-kraken2_refseqV205-0.75	9990287.0
strain_sample_64-kraken2_refseqV205-0.10	9655371.0
strain_sample_64-kraken2_refseqV205-0.05	9473722.0
strain_sample_64-kraken2_refseqV205-0.00	9621481.0
strain_sample_64-kraken2_refseqV205-0.45	6489730.0
strain_sample_64-kraken2_refseqV205-0.35	6922441.0
strain_sample_64-kraken2_refseqV205-0.40	6653111.0
strain_sample_64-kraken2_refseqV205-0.30	7139457.0
strain_sample_64-kraken2_refseqV205-0.50	6325360.0
strain_sample_64-kraken2_refseqV205-0.25	8131969.0
strain_sample_64-kraken2_refseqV205-0.20	8815987.0
strain_sample_64-kraken2_refseqV205-0.70	9078994.0
strain_sample_64-kraken2_refseqV205-0.55	6227092.0
strain_sample_64-kraken2_refseqV205-0.60	7203093.0
strain_sample_64-kraken2_refseqV205-0.65	8158243.0
strain_sample_64-kraken2_refseqV205-0.15	9657122.0
strain_sample_64-kraken2_refseqV205-0.80	10666298.0
strain_sample_64-kraken2_refseqV205-0.85	11332057.0
strain_sample_64-kraken2_refseqV205-0.95	12124666.0
strain_sample_64-kraken2_refseqV205-0.90	11782957.0
strain_sample_64-kraken2_refseqV205-1.00	12352502.0
strain_sample_64-kraken2_refseqV205-0.75	9823822.0
plant_sample_7-kraken2_refseqV205-0.25	38051195.0
plant_sample_7-kraken2_refseqV205-0.20	39183815.0
plant_sample_7-kraken2_refseqV205-0.15	40352511.0
plant_sample_7-kraken2_refseqV205-0.10	41331978.0
plant_sample_7-kraken2_refseqV205-0.05	42251935.0
plant_sample_7-kraken2_refseqV205-0.00	43413316.0
plant_sample_7-kraken2_refseqV205-0.55	27847507.0
plant_sample_7-kraken2_refseqV205-0.75	28001656.0
plant_sample_7-kraken2_refseqV205-0.65	27197842.0
plant_sample_7-kraken2_refseqV205-0.80	28668668.0
plant_sample_7-kraken2_refseqV205-0.70	27612062.0
plant_sample_7-kraken2_refseqV205-0.60	26669145.0
plant_sample_7-kraken2_refseqV205-0.50	29586870.0
plant_sample_7-kraken2_refseqV205-0.35	34690434.0
plant_sample_7-kraken2_refseqV205-0.45	31065429.0
plant_sample_7-kraken2_refseqV205-0.30	36457819.0
plant_sample_7-kraken2_refseqV205-0.85	29110902.0
plant_sample_7-kraken2_refseqV205-0.40	32803816.0
plant_sample_7-kraken2_refseqV205-0.95	29691785.0
plant_sample_7-kraken2_refseqV205-0.90	29427154.0
mouse_sample_8-kraken2_refseqV205-0.35	12342399.0
plant_sample_7-kraken2_refseqV205-1.00	29906450.0
mouse_sample_8-kraken2_refseqV205-0.20	8324131.0
mouse_sample_8-kraken2_refseqV205-0.40	14349374.0
mouse_sample_8-kraken2_refseqV205-0.25	9324413.0
mouse_sample_8-kraken2_refseqV205-0.30	10688990.0
mouse_sample_8-kraken2_refseqV205-0.15	7589206.0
mouse_sample_8-kraken2_refseqV205-0.10	7509447.0
mouse_sample_8-kraken2_refseqV205-0.05	7489693.0
mouse_sample_8-kraken2_refseqV205-0.00	7609067.0
mouse_sample_8-kraken2_refseqV205-0.45	16395056.0
mouse_sample_8-kraken2_refseqV205-0.70	26739371.0
mouse_sample_8-kraken2_refseqV205-1.00	32842932.0
mouse_sample_8-kraken2_refseqV205-0.90	31714976.0
mouse_sample_8-kraken2_refseqV205-0.55	20320268.0
mouse_sample_8-kraken2_refseqV205-0.50	18131876.0
mouse_sample_8-kraken2_refseqV205-0.60	22586032.0
mouse_sample_8-kraken2_refseqV205-0.95	32339728.0
mouse_sample_8-kraken2_refseqV205-0.65	24733282.0
mouse_sample_8-kraken2_refseqV205-0.75	28290364.0
mouse_sample_8-kraken2_refseqV205-0.80	29845194.0
mouse_sample_8-kraken2_refseqV205-0.85	30944171.0
strain_sample_16-kraken2_refseqV205-0.55	7750269.0
strain_sample_16-kraken2_refseqV205-0.30	6800383.0
strain_sample_16-kraken2_refseqV205-0.50	7513900.0
strain_sample_16-kraken2_refseqV205-0.45	7360391.0
strain_sample_16-kraken2_refseqV205-0.35	6875721.0
strain_sample_16-kraken2_refseqV205-0.40	7092025.0
strain_sample_16-kraken2_refseqV205-0.25	8076933.0
strain_sample_16-kraken2_refseqV205-0.20	8873569.0
strain_sample_16-kraken2_refseqV205-0.15	9769178.0
strain_sample_16-kraken2_refseqV205-0.10	9867124.0
strain_sample_16-kraken2_refseqV205-0.05	9802972.0
strain_sample_16-kraken2_refseqV205-0.00	9933811.0
strain_sample_16-kraken2_refseqV205-0.75	9925126.0
strain_sample_16-kraken2_refseqV205-0.85	11533497.0
strain_sample_16-kraken2_refseqV205-0.70	9122711.0
strain_sample_16-kraken2_refseqV205-0.80	10839584.0
strain_sample_16-kraken2_refseqV205-1.00	12629338.0
strain_sample_16-kraken2_refseqV205-0.65	8279130.0
strain_sample_16-kraken2_refseqV205-0.95	12383184.0
strain_sample_16-kraken2_refseqV205-0.60	8019436.0
mouse_sample_55-kraken2_refseqV205-0.10	8843431.0
strain_sample_16-kraken2_refseqV205-0.90	12013721.0
mouse_sample_55-kraken2_refseqV205-0.05	9204675.0
mouse_sample_55-kraken2_refseqV205-0.00	9622434.0
mouse_sample_55-kraken2_refseqV205-0.35	10568246.0
mouse_sample_55-kraken2_refseqV205-0.40	12769886.0
mouse_sample_55-kraken2_refseqV205-0.45	15077086.0
mouse_sample_55-kraken2_refseqV205-0.30	8517133.0
mouse_sample_55-kraken2_refseqV205-0.20	7627529.0
mouse_sample_55-kraken2_refseqV205-0.15	8349628.0
mouse_sample_55-kraken2_refseqV205-0.65	23937448.0
mouse_sample_55-kraken2_refseqV205-0.70	25991499.0
mouse_sample_55-kraken2_refseqV205-0.50	17033211.0
mouse_sample_55-kraken2_refseqV205-0.60	21729004.0
mouse_sample_55-kraken2_refseqV205-0.55	19406523.0
mouse_sample_55-kraken2_refseqV205-0.25	6839951.0
mouse_sample_55-kraken2_refseqV205-0.90	31408377.0
mouse_sample_55-kraken2_refseqV205-0.75	27602038.0
mouse_sample_55-kraken2_refseqV205-0.80	29328140.0
mouse_sample_55-kraken2_refseqV205-1.00	32517983.0
mouse_sample_55-kraken2_refseqV205-0.85	30569470.0
mouse_sample_55-kraken2_refseqV205-0.95	32058426.0
strain_sample_80-kraken2_refseqV205-0.25	5843962.0
strain_sample_80-kraken2_refseqV205-0.20	5955182.0
strain_sample_80-kraken2_refseqV205-0.15	6487593.0
strain_sample_80-kraken2_refseqV205-0.10	6558520.0
strain_sample_80-kraken2_refseqV205-0.05	6625429.0
strain_sample_80-kraken2_refseqV205-0.00	6461371.0
strain_sample_80-kraken2_refseqV205-0.30	6620071.0
strain_sample_80-kraken2_refseqV205-0.70	9026086.0
strain_sample_80-kraken2_refseqV205-0.45	6954251.0
strain_sample_80-kraken2_refseqV205-0.60	6936310.0
strain_sample_80-kraken2_refseqV205-0.75	9871781.0
strain_sample_80-kraken2_refseqV205-0.55	6796162.0
strain_sample_80-kraken2_refseqV205-0.50	6941549.0
strain_sample_80-kraken2_refseqV205-0.35	6798806.0
strain_sample_80-kraken2_refseqV205-0.85	11569228.0
strain_sample_80-kraken2_refseqV205-0.65	7996905.0
strain_sample_80-kraken2_refseqV205-0.40	6931897.0
strain_sample_80-kraken2_refseqV205-0.80	10834873.0
strain_sample_80-kraken2_refseqV205-0.95	12467509.0
strain_sample_80-kraken2_refseqV205-0.90	12079006.0
strain_sample_80-kraken2_refseqV205-1.00	12730959.0
strain_sample_73-kraken2_refseqV205-0.25	8119664.0
strain_sample_73-kraken2_refseqV205-0.20	8966149.0
strain_sample_73-kraken2_refseqV205-0.15	9646655.0
strain_sample_73-kraken2_refseqV205-0.30	6834334.0
strain_sample_73-kraken2_refseqV205-0.40	6527804.0
strain_sample_73-kraken2_refseqV205-0.35	6479486.0
strain_sample_73-kraken2_refseqV205-0.10	9621168.0
strain_sample_73-kraken2_refseqV205-0.05	9448386.0
strain_sample_73-kraken2_refseqV205-0.00	9614166.0
strain_sample_73-kraken2_refseqV205-0.60	7851859.0
strain_sample_73-kraken2_refseqV205-0.50	7070113.0
strain_sample_73-kraken2_refseqV205-0.70	9278231.0
strain_sample_73-kraken2_refseqV205-0.55	7477447.0
