Sample name	Weighted unifrac distance relative abundance
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.40	426.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.45	404.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.25	391.0
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.15	334.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.10	384.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.05	429.0
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.95	349.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.85	366.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.90	372.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.70	352.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.65	349.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-1.00	312.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.80	365.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.55	356.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.75	367.0
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.60	336.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.20	770.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.30	760.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.45	774.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.35	761.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.25	760.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.15	757.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.40	774.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.10	768.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.05	757.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.00	724.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.60	786.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.50	774.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.70	787.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.55	775.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.75	800.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.65	786.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.95	796.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.80	801.5
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.85	803.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-0.90	824.0
ABRF_MGRG_Normal-kraken2_refseqV205_proportions-1.00	698.0
