File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_standard_UnAmbiguouslyMapped_ds.frankengenome.fastq.bowtie2out_0.75,0.04,0.00,0:00.03,6908, 12 ,136%
kraken2_standard_ani95_cLOW_stTrue_r2_0.05,298.68,11.64,0:27.00,53134976, 12 ,1149%
kraken2_standard_ani97_cHIGH_stFalse_r5_0.95,313.28,14.10,0:28.38,53082656, 12 ,1153%
kraken2_standard_ani100_cLOW_stFalse_r9.fastq.bowtie2out_0.00,0.09,0.01,0:00.11,7516, 12 ,102%
kraken2_standard_ani97_cHIGH_stFalse_r6.fastq.bowtie2out_0.50,0.03,0.01,0:00.03,7536, 12 ,166%
kraken2_standard_ani99_cLOW_stFalse_r3.fastq.bowtie2out_0.35,0.06,0.00,0:00.04,7604, 12 ,175%
kraken2_standard_ani100_cHIGH_stTrue_r4.fastq.bowtie2out_0.15,0.02,0.03,0:00.03,7508, 12 ,161%
kraken2_standard_ani100_cLOW_stTrue_r9_0.15,306.36,11.70,0:27.61,53163460, 12 ,1151%
kraken2_standard_ani99_cHIGH_stTrue_r6_0.15,320.92,12.62,0:29.02,53182524, 12 ,1149%
kraken2_standard_ani97_cLOW_stFalse_r9.fastq.bowtie2out_0.35,0.06,0.00,0:00.03,7604, 12 ,173%
kraken2_standard_ani99_cHIGH_stFalse_r8_0.85,296.45,11.23,0:26.68,53100124, 12 ,1152%
kraken2_standard_ani99_cLOW_stFalse_r1_0.55,323.98,12.21,0:29.13,53133880, 12 ,1153%
kraken2_standard_ani100_cHIGH_stTrue_r2.fastq.bowtie2out_0.95,0.06,0.00,0:00.04,7600, 12 ,175%
kraken2_standard_ani97_cHIGH_stTrue_r4.fastq.bowtie2out_0.20,0.05,0.01,0:00.03,7400, 12 ,169%
kraken2_standard_ani100_cLOW_stTrue_r8.fastq.bowtie2out_0.10,0.07,0.00,0:00.05,7588, 12 ,170%
kraken2_standard_ani99_cLOW_stTrue_r5_0.70,311.04,12.90,0:28.04,53158400, 12 ,1155%
kraken2_standard_ani97_cHIGH_stTrue_r9_0.85,358.87,11.81,0:31.94,53119576, 12 ,1160%
kraken2_standard_ani97_cHIGH_stTrue_r0.fastq.bowtie2out_0.25,0.05,0.00,0:00.03,7520, 12 ,166%
kraken2_standard_UnAmbiguouslyMapped_ds.cityparks.fastq.bowtie2out_0.95,0.03,0.00,0:00.03,6736, 12 ,123%
kraken2_standard_ani100_cHIGH_stTrue_r6.fastq.bowtie2out_0.90,0.05,0.00,0:00.03,7596, 12 ,160%
kraken2_standard_ZymoMock_0.20,245.60,11.19,0:22.47,53075460, 12 ,1142%
kraken2_standard_ani95_cLOW_stFalse_r4_0.40,364.01,12.37,0:32.49,53072308, 12 ,1158%
kraken2_standard_Huttenhower_LC2_0.70,3.70,3.91,0:01.56,52376912, 12 ,487%
kraken2_standard_NA12878_NegControl_SL126488_0.fastq.bowtie2out_0.25,0.05,0.00,0:00.03,7508, 12 ,161%
kraken2_standard_UnAmbiguouslyMapped_ds.frankengenome.mix.fastq.bowtie2out_0.85,0.03,0.00,0:00.03,6800, 12 ,111%
kraken2_standard_MGRG_nanopore_b1.fail.2d.fastq.bowtie2out_0.95,0.03,0.00,0:00.03,6812, 12 ,108%
kraken2_standard_ani97_cLOW_stTrue_r1.fastq.bowtie2out_0.95,0.02,0.03,0:00.03,7592, 12 ,169%
kraken2_standard_Huttenhower_HC1_0.60,14.11,4.67,0:02.61,52866900, 12 ,719%
kraken2_standard_ani97_cHIGH_stFalse_r7.fastq.bowtie2out_0.95,0.05,0.00,0:00.03,7520, 12 ,155%
kraken2_standard_ani97_cLOW_stFalse_r9_0.45,326.19,12.99,0:29.33,53178976, 12 ,1156%
kraken2_standard_ani97_cHIGH_stTrue_r3.fastq.bowtie2out_0.65,0.04,0.01,0:00.03,7520, 12 ,155%
kraken2_standard_ani97_cLOW_stTrue_r5.fastq.bowtie2out_0.90,0.06,0.00,0:00.04,7540, 12 ,175%
kraken2_standard_ani97_cLOW_stFalse_r7.fastq.bowtie2out_1.00,0.06,0.01,0:00.03,7512, 12 ,205%
kraken2_standard_ani97_cHIGH_stTrue_r7.fastq.bowtie2out_0.60,0.04,0.00,0:00.03,7600, 12 ,158%
kraken2_standard_ani97_cHIGH_stFalse_r3.fastq.bowtie2out_0.90,0.05,0.00,0:00.03,7508, 12 ,165%
kraken2_standard_ani97_cLOW_stTrue_r8_0.95,318.24,11.92,0:28.55,53093136, 12 ,1156%
kraken2_standard_ani99_cHIGH_stTrue_r1_0.95,344.10,12.71,0:30.85,53130380, 12 ,1156%
kraken2_standard_UnAmbiguouslyMapped_ds.frankengenome.mix_1.00,102.67,6.45,0:10.07,52792876, 12 ,1082%
kraken2_standard_RH_S004__insert_270_0.85,2384.70,46.97,3:23.90,52888624, 12 ,1192%
kraken2_standard_ani99_cHIGH_stFalse_r9_0.20,365.66,12.42,0:32.67,53148724, 12 ,1157%
kraken2_standard_UnAmbiguouslyMapped_ds.soil_0.60,37.21,6.05,0:04.59,52928632, 12 ,940%
kraken2_standard_BioPool.fastq.bowtie2out_0.50,0.01,0.03,0:00.03,6628, 12 ,124%
kraken2_standard_NA12878_NegControl_SL126487_0.fastq.bowtie2out_0.45,0.05,0.00,0:00.03,7576, 12 ,154%
kraken2_standard_ani97_cHIGH_stTrue_r8_0.20,331.23,13.63,0:29.83,53174992, 12 ,1155%
kraken2_standard_RH_S005__insert_270_1.00,2284.99,49.95,3:16.01,52860416, 12 ,1191%
kraken2_standard_ani95_cLOW_stFalse_r2.fastq.bowtie2out_0.90,0.06,0.00,0:00.03,7548, 12 ,181%
kraken2_standard_NA12878_NegControl_SL126486_0.fastq.bowtie2out_0.10,0.05,0.00,0:00.03,7608, 12 ,155%
kraken2_standard_ABRF_MGRG_Normal.fastq.bowtie2out.bowtie2out_0.20,0.03,0.01,0:00.03,6624, 12 ,124%
kraken2_standard_UnAmbiguouslyMapped_ds.gut.fastq.bowtie2out_0.80,0.02,0.03,0:00.04,6904, 12 ,141%
kraken2_standard_ani100_cHIGH_stFalse_r8.fastq.bowtie2out_0.25,0.09,0.01,0:00.06,7408, 12 ,163%
kraken2_standard_ani95_cLOW_stFalse_r2_0.65,338.85,11.51,0:30.29,53086040, 12 ,1156%
kraken2_standard_ABRF_MGRG_Half_0.00,74.61,7.52,0:10.73,52888452, 12 ,765%
kraken2_standard_ani99_cLOW_stTrue_r1.fastq.bowtie2out_0.95,0.05,0.00,0:00.03,7556, 12 ,152%
kraken2_standard_Huttenhower_LC4_0.55,3.70,4.17,0:01.63,52117608, 12 ,482%
kraken2_standard_HMP_even_454_SRR072233.fastq.bowtie2out_0.90,0.04,0.00,0:00.03,6788, 12 ,125%
kraken2_standard_ani99_cHIGH_stTrue_r0_0.30,310.35,11.63,0:27.91,53165624, 12 ,1153%
kraken2_standard_ani97_cLOW_stTrue_r9_0.30,345.90,12.90,0:31.09,53166020, 12 ,1154%
kraken2_standard_ani95_cLOW_stFalse_r6.fastq.bowtie2out_0.95,0.03,0.01,0:00.03,7596, 12 ,161%
kraken2_standard_ani99_cLOW_stFalse_r7_0.70,303.10,11.99,0:27.27,53051796, 12 ,1155%
kraken2_standard_ani99_cLOW_stTrue_r5.fastq.bowtie2out_0.90,0.04,0.01,0:00.03,7552, 12 ,154%
kraken2_standard_HMP_even_illum_SRR172902_0.35,67.38,7.46,0:07.22,52927388, 12 ,1035%
kraken2_standard_ani99_cLOW_stTrue_r3_0.55,291.22,11.95,0:26.27,53157860, 12 ,1153%
kraken2_standard_ani99_cHIGH_stFalse_r6_0.20,297.61,10.86,0:26.80,53143476, 12 ,1151%
kraken2_standard_ani99_cLOW_stTrue_r3.fastq.bowtie2out_0.10,0.07,0.00,0:00.03,7560, 12 ,207%
kraken2_standard_Huttenhower_LC5.fasta.bowtie2out_0.70,0.03,0.00,0:00.03,6676, 12 ,117%
kraken2_standard_RH_S001__insert_270.fasta.bowtie2out_0.60,0.04,0.00,0:00.03,7540, 12 ,151%
kraken2_standard_ani95_cLOW_stTrue_r4_0.20,325.38,11.65,0:29.22,53143744, 12 ,1153%
kraken2_standard_ani95_cLOW_stFalse_r0.fastq.bowtie2out_0.15,0.04,0.01,0:00.03,7508, 12 ,172%
kraken2_standard_UnAmbiguouslyMapped_ds.7.fastq.bowtie2out_0.00,0.09,0.01,0:00.17,7576, 12 ,58%
kraken2_standard_Mavromatis_simMC.fasta.bowtie2out_0.45,0.03,0.00,0:00.03,6728, 12 ,114%
kraken2_standard_ani97_cHIGH_stTrue_r7_0.20,335.41,14.22,0:30.30,53152428, 12 ,1153%
kraken2_standard_Huttenhower_LC1.fasta.bowtie2out_0.75,0.03,0.00,0:00.03,6624, 12 ,115%
kraken2_standard_ani97_cLOW_stFalse_r0_0.60,299.97,13.50,0:27.17,53148204, 12 ,1153%
kraken2_standard_ani99_cLOW_stTrue_r7.fastq.bowtie2out_0.15,0.05,0.01,0:00.03,7588, 12 ,168%
kraken2_standard_ani100_cHIGH_stTrue_r3_0.40,332.66,12.41,0:29.86,53158500, 12 ,1155%
kraken2_standard_NegControl_MH2.fastq.bowtie2out_0.00,0.03,0.00,0:00.05,6748, 12 ,75%
kraken2_standard_ani100_cLOW_stFalse_r4_0.00,352.69,14.15,0:41.04,53138004, 12 ,893%
kraken2_standard_ani95_cLOW_stFalse_r4.fastq.bowtie2out_0.10,0.05,0.00,0:00.03,7500, 12 ,155%
kraken2_standard_RM2_S001__insert_270_0.80,2366.45,55.14,3:23.29,52953152, 12 ,1191%
kraken2_standard_ABRF_MGRG_1ng.fastq.bowtie2out_0.00,0.09,0.00,0:00.10,6900, 12 ,99%
kraken2_standard_ani100_cLOW_stFalse_r3_0.80,307.29,13.00,0:27.74,53063384, 12 ,1154%
kraken2_standard_ani95_cLOW_stFalse_r7.fastq.bowtie2out_0.50,0.04,0.01,0:00.03,7600, 12 ,160%
kraken2_standard_NegControl_MH1.fastq.bowtie2out_0.40,0.02,0.00,0:00.03,6900, 12 ,109%
kraken2_standard_ani99_cLOW_stTrue_r4.fastq.bowtie2out_0.55,0.05,0.00,0:00.03,7612, 12 ,152%
kraken2_standard_Huttenhower_LC2.fasta.bowtie2out_0.35,0.01,0.02,0:00.03,6900, 12 ,113%
kraken2_standard_NegControl_MH2_0.55,15.52,4.84,0:02.65,52775156, 12 ,766%
kraken2_standard_ani95_cLOW_stFalse_r3.fastq.bowtie2out_0.55,0.05,0.00,0:00.03,7564, 12 ,169%
kraken2_standard_ani97_cHIGH_stFalse_r4_0.30,328.88,13.75,0:29.71,53153144, 12 ,1153%
kraken2_standard_ani100_cHIGH_stFalse_r5_0.45,319.88,12.27,0:28.65,53063904, 12 ,1159%
kraken2_standard_ani99_cLOW_stFalse_r8_0.70,283.88,10.68,0:25.55,53142336, 12 ,1152%
kraken2_standard_Huttenhower_LC6.fasta.bowtie2out_0.30,0.03,0.00,0:00.03,6796, 12 ,119%
kraken2_standard_ani99_cLOW_stTrue_r0.fastq.bowtie2out_0.50,0.06,0.00,0:00.04,7408, 12 ,175%
kraken2_standard_ani97_cLOW_stTrue_r6_0.30,321.00,11.76,0:28.86,53169016, 12 ,1152%
kraken2_standard_ani100_cLOW_stTrue_r0_0.30,330.10,12.05,0:29.58,53177052, 12 ,1156%
kraken2_standard_ani100_cLOW_stTrue_r1.fastq.bowtie2out_0.75,0.04,0.01,0:00.03,7484, 12 ,180%
kraken2_standard_MGRG_nanopore_b3.pass.2d_0.50,0.08,0.04,0:00.04,172968, 12 ,275%
