Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean Precision,Mean Recall,Mean F1 score
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.30,0.8974910567844366,0.8248388980931204,0.7903225806451613,0.7402855343265049,0.5632183908045977,0.7802782855599035,0.6577181208053691,5836879.0,60.80192007248656,7.017660382972699,16.386824890917445,16.479166666666664,0.2262118491921005,0.1294964028776978,0.2197217144400964,0.1944619816298194,0.8300971540433737,3.532492460363658,226.5,62.0,0.4121947302655902,0.5932777953930332,0.0949309128240384,62.0,0.8075807393691408,0.6517519625655512,0.7189982031826363
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.35,0.7618829659832809,0.8311732399806494,0.8448275862068966,0.6332567333223905,0.5632183908045977,0.7188408600896817,0.6758620689655171,6935172.0,59.43248169101568,7.341623486753651,17.7922991492605,17.260416666666664,0.2033271719038817,0.1294964028776978,0.2811591399103183,0.2045502698827342,0.8286455943890898,3.533943321728398,218.5,58.0,0.4139519743018113,0.6032698509380258,0.1006182435104374,58.0,0.838000413093773,0.5982375620634941,0.6973514645275994
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.40,0.5629030804147258,0.8329990120094276,0.8596491228070176,0.46889770984253,0.5632183908045977,0.6000342768767276,0.6805555555555556,8751506.0,57.86021714828119,8.130374993005542,19.94226665925688,21.53333333333333,0.1973929236499069,0.1538461538461538,0.3999657231232724,0.216666786885245,0.8265636068520703,3.526944288330065,216.5,57.0,0.4164599117070194,0.6046649739263285,0.1011544309166938,57.0,0.8463240674082226,0.5160580503235639,0.6402949162161415
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.45,0.3471648353092622,0.8373277655094626,0.875,0.2906907558129651,0.5632183908045977,0.4315592987494104,0.6853146853146854,10720965.0,55.50548070038276,10.07097767856713,22.361964255177284,23.371428571428574,0.1943925233644859,0.1655172413793103,0.5684407012505895,0.2299120213084425,0.8243153258468461,3.517341672717793,215.5,56.0,0.4191522997326384,0.6056701751356991,0.101643145272739,56.0,0.8561638827547313,0.4269545733087814,0.5584369920320479
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.50,0.1969080281297183,0.8378847699723438,0.875,0.1649862378551768,0.5632183908045977,0.2756874111922924,0.6853146853146854,12137096.0,53.313436436214296,13.076639283505672,24.340334716449668,29.23809523809524,0.1943925233644859,0.1655172413793103,0.7243125888077074,0.2395583108391068,0.8218139789426525,3.5080842832443,215.5,56.0,0.4221292827510378,0.60407609493951,0.1002162950335801,56.0,0.856442384986172,0.36410231432988727,0.48050104825348894
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.55,0.0798303685471955,0.8386390784028632,0.875,0.0669488667069809,0.5632183908045977,0.1239988588153045,0.6853146853146854,13243055.0,49.91876295447866,18.546541063476432,27.064770128725677,29.5,0.1943925233644859,0.1655172413793103,0.8760011411846955,0.2552082278088543,0.8179457279076429,3.489850132696501,215.5,56.0,0.4266991817824991,0.6009362574760648,0.0980869201909408,56.0,0.8568195392014316,0.31508362875578927,0.40465677206499495
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.60,0.0247572178224596,0.8606582208360622,0.8846153846153846,0.021307503043929,0.5287356321839081,0.0415854656563552,0.6618705035971223,13749989.0,45.00265376960781,25.41086955800781,31.1721749206346,41.35119047619047,0.2429906542056074,0.2206896551724138,0.9584145343436448,0.2735345745467543,0.803922560566741,3.4004248376421424,202.5,52.0,0.4428714881706315,0.5965197433490301,0.0980774192398357,52.0,0.8726368027257234,0.27502156761391855,0.35172798462673877
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.65,0.0057575008225001,0.9234290676757024,0.8863636363636364,0.0053166436166633,0.4482758620689655,0.0105724165364224,0.5954198473282443,13931737.0,39.02056945328019,31.446947404910468,35.03856816604197,48.21861471861472,0.3327102803738317,0.2097902097902098,0.9894275834635776,0.2883854846053719,0.7951052194329604,3.313161499787927,178.5,44.0,0.4528946488136444,0.6068693100720455,0.1109216772841931,44.0,0.9048963520196693,0.2267962528428144,0.3029961319323333
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.70,0.0009470715638673,0.9111546873821555,0.8484848484848485,0.000862928694704,0.3218390804597701,0.001724224425485,0.4666666666666667,13989095.0,35.26642180558219,34.975850894581974,36.00984736605527,44.17857142857143,0.4859813084112149,0.1655172413793103,0.9982757755745147,0.315140992182716,0.8341013215954002,3.4069161062451965,137.5,33.0,0.4082919717883911,0.6753865827356266,0.1826598656146383,33.0,0.879819767933502,0.16135100457723706,0.23419544554607583
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.75,0.0001676428810918,0.8517256071580741,0.8181818181818182,0.0001427857346836,0.2068965517241379,0.0002855236033678,0.3302752293577981,13998347.0,30.959223965208075,33.77764046164974,23.98156553228239,17.587301587301585,0.6242990654205608,0.3583815028901734,0.999714476396632,0.3617996894603367,0.8578273690279716,3.3958467399501564,100.5,22.0,0.380461342920693,0.7614976594232093,0.319713753229258,22.0,0.8349537126699462,0.10351966872941075,0.16528037648058294
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.80,1.0071430010204287e-05,0.7801418439716312,0.75,7.857143979591997e-06,0.0344827586206896,1.5714129695426598e-05,0.0659340659340659,13999919.0,23.35786192553196,15.48456571962466,27.591512819045665,33.71825396825397,0.8859813084112149,0.7450980392156863,0.9999842858703044,0.8231142604448943,0.66022835873447,1.6538129618234692,30.5,4.0,0.5955241607973165,0.8269064809117346,0.7357883049592894,4.0,0.7650709219858156,0.017245307882334596,0.03297489003188066
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999998.0,19.11647367695468,0.0,38.67476923870679,1.996860045979059e+21,1.0,0.8606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999998.0,19.11647367695468,0.0,38.67476923870679,1.996860045979059e+21,1.0,0.8606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999998.0,19.11647367695468,0.0,38.67476923870679,1.996860045979059e+21,1.0,0.8606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999998.0,19.11647367695468,0.0,38.67476923870679,1.996860045979059e+21,1.0,0.8606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.00,0.9997179999597144,0.5668209244751198,0.0168093878845543,0.566661080951583,0.452991452991453,0.5667409914427922,0.0324159021406727,12129540.0,138.2385997009021,6.965024587487412,34.7744991883787,44.84523809523809,0.9608689070541933,0.1128205128205128,0.4332590085572078,0.4332236312914825,0.9146829393247794,4.691165431499571,6535.0,3984.0849056603774,0.2921566387313846,0.403627585745628,0.003717407274262,3153.0,0.29181515617983705,0.509826266971518,0.29957844679173246
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.05,0.9993429284775612,0.5717899313684658,0.0791044776119403,0.5714142244877464,0.452991452991453,0.5716020161912502,0.1346886912325285,11991201.0,115.5943451746928,7.028378119138854,35.138695464569224,45.80952380952381,0.8129522431259045,0.094240837696335,0.4283979838087497,0.4283859963177777,0.91159613292729,4.564472619392703,1311.0,745.3076923076923,0.2973420961100086,0.4862019828742675,0.0168831677035718,670.0,0.32544720449020303,0.5122028387395997,0.3531453537118893
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.10,0.9981292854470408,0.5609447331750944,0.1955719557195571,0.559895365699338,0.452991452991453,0.5604195582109921,0.2731958762886597,12296738.0,104.90970499465732,7.061084678332746,33.242371995404035,39.773809523809526,0.6280575539568345,0.1477832512315271,0.4395804417890079,0.4395800765372063,0.9096388629839132,4.485966827846004,624.0,282.05263157894734,0.3006071007280774,0.5550462884181782,0.040836547903465,271.0,0.37825834444732576,0.5064434093453954,0.4168077172498259
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.15,0.9947519992502856,0.5438435256574397,0.3136094674556213,0.540989434427062,0.452991452991453,0.5424127256224226,0.3706293706293706,12778822.0,98.31405130204423,7.10394075969186,31.91097617594459,39.305059523809526,0.4809236947791164,0.1932367149758454,0.4575872743775774,0.4573765035667881,0.9089892970911,4.456616675977686,427.0,174.625,0.3016834412578765,0.6021739327531132,0.065016086835815,169.0,0.4287264965565305,0.4969904437092575,0.4565210481258966
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.20,0.9839014262716324,0.5347354823197275,0.4274193548387097,0.5261270037324292,0.452991452991453,0.5303963158302532,0.4398340248962655,13043062.0,93.22867469818809,7.2163879372260435,34.057984160444995,40.930059523809526,0.4057471264367816,0.1932367149758454,0.4696036841697469,0.4689871012157408,0.9088887187707158,4.429845027524178,364.0,127.33333333333331,0.3018491484192384,0.6370031603663108,0.0885128166372467,124.0,0.4810774185792186,0.4895592283619411,0.48511517036325935
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.25,0.9587785655397952,0.529975047117247,0.5353535353535354,0.5081287154469594,0.452991452991453,0.518822009170731,0.4907407407407407,13195294.0,89.40315785511021,7.380679115118978,35.020238476462325,40.992559523809526,0.2908093278463649,0.1932367149758454,0.4811779908292691,0.4792806832578152,0.9093134311965636,4.428321363309641,293.5,100.0,0.3011443059653504,0.6679865961497276,0.1113837499233662,99.0,0.5326642912353912,0.48056008421920615,0.5047813749557358
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.30,0.8876400553771507,0.5342289292175182,0.6022727272727273,0.4742029963147137,0.452991452991453,0.5024294700294097,0.5170731707317073,13149275.0,85.64003527365544,7.666823431882268,37.19152139871168,43.82619047619048,0.2828854314002829,0.251207729468599,0.4975705299705902,0.4917973728793964,0.907559825704772,4.383039626812529,277.5,88.0,0.304041886323462,0.6785488082521398,0.1229296293551342,88.0,0.5682508282451227,0.46359722465308334,0.5097513203805586
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.35,0.750609392944199,0.5290057695986022,0.6625,0.3970766995823857,0.452991452991453,0.4536439724164584,0.5380710659898477,13390382.0,83.00934219868653,8.016595401981505,39.47739217010535,44.99285714285715,0.2641509433962264,0.3317535545023696,0.5463560275835415,0.5075208681875074,0.9068586496649796,4.3679630712347,268.5,80.0,0.3051929730000848,0.6909226118479799,0.1342046250675849,80.0,0.5957528847993011,0.42503407628691936,0.495857519203153
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.40,0.5524817217831031,0.5232950855639289,0.6883116883116883,0.2891109698729956,0.452991452991453,0.372450078885228,0.5463917525773195,13639635.0,80.80357251214075,8.926881798376359,42.09434497897259,50.64285714285714,0.2773722627737226,0.3317535545023696,0.6275499211147719,0.5218908420715196,0.9046861669756746,4.338277854924084,260.5,77.0,0.3087324183175479,0.6922651388797787,0.1362552797944715,77.0,0.6058033869378086,0.3710512114322243,0.45942091573127375
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.45,0.3386558340936906,0.5186325938621622,0.6883116883116883,0.1756379536625648,0.452991452991453,0.2624094247218918,0.5463917525773195,13823317.0,78.3314843957381,11.183504397889646,44.859521199231935,57.95879120879121,0.2773722627737226,0.3946188340807174,0.7375905752781081,0.5366072688186818,0.901828498789446,4.3041289693932105,260.5,77.0,0.3133283399524754,0.6868159528720665,0.1322890332415207,77.0,0.6034721410869253,0.3143147033270089,0.4044005886496057
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.50,0.19132867018981,0.5256404369295763,0.726027397260274,0.1005700857957265,0.452991452991453,0.1688368429506579,0.5578947368421053,13862637.0,74.26158123486498,14.70805129216105,46.73125990927451,56.207875457875446,0.2578710644677661,0.42152466367713,0.8311631570493421,0.5519987432081889,0.8988529463471417,4.266170376439837,251.5,73.0,0.3180447947643004,0.6892231493572017,0.1354328143259683,73.0,0.6258339170949252,0.27678076939358975,0.36336578989638163
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.55,0.0768752966964709,0.5659453995060646,0.7571428571428571,0.0435072205010315,0.452991452991453,0.0808027087899565,0.5668449197860963,13858050.0,68.19630912068592,20.823945086752666,48.7454517599304,69.99675324675326,0.2654600301659125,0.42152466367713,0.9191972912100436,0.5679425254636404,0.8956171733241025,4.227261769990768,245.5,70.0,0.3231040268798655,0.6896829136954704,0.1368588563909136,70.0,0.6615441283244609,0.24824933674624225,0.3238238142880264
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.60,0.0235747890821127,0.7124591346081013,0.7571428571428571,0.0167960738280105,0.452991452991453,0.0328184593977199,0.5668449197860963,13859755.0,63.1342318043169,28.776709959316022,46.55256846725929,59.79761904761905,0.2654600301659125,0.4,0.96718154060228,0.5712958042800252,0.9020955275849888,4.256670984535531,245.5,70.0,0.3129623319725931,0.6944810629183825,0.1459148283355026,70.0,0.7348009958754792,0.23489376340973175,0.2998316895919081
ani100_cLOW_stTrue_r7-kraken2_refseqV205_500GB-0.65,0.0053932150561735,0.6849480166876366,0.7575757575757576,0.0036940719562959,0.4273504273504273,0.0073485118080682,0.5464480874316939,13972069.0,56.86347092473951,38.33940245353526,47.62647982524747,61.79761904761904,0.2934947049924357,0.410958904109589,0.9926514881919316,0.5775345691803715,0.9090762469552462,4.285868849247486,234.5,66.0,0.3017954629796152,0.7090650881816397,0.1666397904193132,66.0,0.7212618871316971,0.2155222496533616,0.27689829961988105
