Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,Mean F1 score,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.55,0.745133115,0.584845433,0.081967213,0.435787699,1,0.499432044,0.151515152,0.325473598,2456322,24.22323103,2.584348042,34584305.94,423,0.874031008,0.084507042,0.500567956,0.483562984,0.786607209,2.610886626,258,61,0.461957804,0.440229684,0.076822851
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.60,0.545431494,0.798977881,0.096153846,0.435787699,1,0.563968964,0.175438596,0.36970378,1894789,21.50704397,2.584348042,34584125.09,316.5,0.861111111,0.057971014,0.436031036,0.367704282,0.733439449,2.3916583,234,52,0.516312192,0.419556809,0.072144093
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.65,0.495973484,0.878651205,0.106382979,0.435787699,1,0.582614203,0.192307692,0.387460948,1755720,19.19038891,2.584348042,34584219.75,345,0.852272727,0,0.417385797,0.324596159,0.687071988,2.129176099,220,47,0.559418141,0.383318398,0.067991982
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.70,0.495193217,0.880035679,0.135135135,0.435787699,1,0.58291824,0.238095238,0.410506739,1753526,17.81318797,2.584348042,34584125.15,345,0.813218391,0,0.41708176,0.323847074,0.686085798,2.112284342,174,37,0.560294954,0.405471399,0.08609686
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.75,0.493505367,0.883045512,0.15625,0.435787699,1,0.583577012,0.27027027,0.426923641,1748780,16.62782888,2.584348042,34582461.45,345,0.781879195,0,0.416422988,0.322218571,0.683945718,2.085613992,149,32,0.562199612,0.417122798,0.09887542
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.80,0.490569232,0.88833068,0.185185185,0.435787699,1,0.584726546,0.3125,0.448613273,1740524,14.76943778,2.584348042,34582467.07,345,0.767857143,0,0.415273454,0.319358973,0.680167473,2.036296976,140,27,0.565548038,0.42825345,0.115801346
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.85,0.489894589,0.889554016,0.227272727,0.435787699,1,0.584991317,0.37037037,0.477680844,1738627,13.64935764,2.584348042,34581455.44,345,0.748062016,0,0.415008683,0.318697074,0.679286598,2.021627474,129,22,0.566324271,0.453337476,0.141729486
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.90,0.486653318,0.895478738,0.263157895,0.435787699,1,0.586266743,0.416666667,0.501466705,1729513,11.6635093,2.584348042,34581041.77,346.5,0.714912281,0,0.413733257,0.315491439,0.675041354,1.975666553,114,19,0.57005894,0.465089516,0.161963929
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.95,0.486625579,0.895529784,0.3125,0.435787699,1,0.586277682,0.476190476,0.531234079,1729435,11.50377423,2.584348042,34581022.27,346.5,0.634831461,0,0.413722318,0.31546382,0.675004307,1.974844932,89,16,0.570090184,0.493711233,0.192310241
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_1.00,0.486591082,0.895593272,0.384615385,0.435787699,1,0.586291287,0.555555556,0.570923421,1729338,11.33764018,2.584348042,34580882.53,346.5,0.462809917,0,0.413708713,0.315429469,0.674958227,1.973814404,60.5,13,0.570129349,0.533399962,0.236655973
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.05,0.810868526,0.562948067,0.001876877,0.456476869,1,0.504152414,0.003746722,0.253949568,2225181,85.96686959,2.418959333,30481235.34,457,0.994475608,0.109589041,0.495847586,0.483701043,0.806263794,3.273814835,5883,3091.555556,0.440738832,0.28769716,0.001937559
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.10,0.797349652,0.572492717,0.004170142,0.456476869,1,0.507944426,0.008305648,0.258125037,2191679,65.24284394,2.418959333,30481180.31,458.5,0.98965627,0.109589041,0.492055574,0.478338269,0.799657216,3.087911371,3142,1360.117647,0.447868212,0.30191898,0.004163007
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.15,0.776493091,0.58786984,0.00805153,0.456476869,1,0.513907846,0.015974441,0.264941144,2139993,51.58128864,2.418959333,30481129.54,455,0.982648158,0.029850746,0.486092154,0.469698453,0.788951624,2.880182263,1873,719.1818182,0.459548083,0.310416334,0.007630032
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.20,0.769746163,0.593022597,0.013623978,0.456476869,1,0.515867053,0.02688172,0.271374387,2123273,42.89484548,2.418959333,30481086.81,443.5,0.972527473,0.029850746,0.484132947,0.466803316,0.785242651,2.785315521,1183,404.2727273,0.463508126,0.326928925,0.012687788
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.25,0.763797407,0.597641292,0.022123894,0.456476869,1,0.517606917,0.043290043,0.28044848,2108531,36.5701792,2.418959333,30481040.83,445,0.958386684,0.029850746,0.482393083,0.464208248,0.781888928,2.702594717,781,241.4,0.467079153,0.345592438,0.020286814
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.30,0.755461803,0.604235538,0.040322581,0.456476869,1,0.520064712,0.07751938,0.298792046,2087874,29.62235916,2.418959333,30480859.21,446.5,0.916879795,0.029850746,0.479935288,0.460503194,0.777110209,2.619202139,391,124.6,0.472143073,0.37663621,0.036181631
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.35,0.751570618,0.60736391,0.054945055,0.456476869,1,0.521220057,0.104166667,0.312693362,2078231,26.8184925,2.418959333,30480836.62,436,0.892026578,0.029850746,0.478779943,0.458745482,0.774805802,2.573104046,301,91.6,0.47456924,0.395388021,0.048797931
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.40,0.746897402,0.611164087,0.072463768,0.456476869,1,0.5226144,0.135135135,0.328874768,2066650,24.22510032,2.418959333,30480628.37,436,0.858078603,0.029850746,0.4773856,0.456610308,0.771999509,2.523622233,229,69,0.477511513,0.413131232,0.063564572
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.45,0.745884556,0.611993995,0.096153846,0.456476869,1,0.522917586,0.175438596,0.349178091,2064140,23.05588448,2.418959333,30480581.11,436,0.818435754,0.029850746,0.477082414,0.456144014,0.771380095,2.507641821,179,52,0.478155332,0.439903226,0.084116776
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.50,0.741122564,0.615926286,0.111111111,0.456476869,1,0.524347772,0.2,0.362173886,2052339,22.1774688,2.418959333,30480562.95,437.5,0.779661017,0.029850746,0.475652228,0.45393461,0.768464196,2.462666293,147.5,45,0.481193202,0.448421735,0.095977477
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.55,0.733612572,0.622231524,0.138888889,0.456476869,1,0.526619242,0.243902439,0.38526084,2033728,20.21718915,2.418959333,30479948.14,439,0.749034749,0.029850746,0.473380758,0.450391939,0.763735986,2.386711628,129.5,36,0.486079326,0.461653047,0.117570921
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.60,0.729911043,0.625386988,0.147058824,0.456476869,1,0.52774606,0.256410256,0.392078158,2024555,19.47510125,2.418959333,30479954.82,439,0.743083004,0.029850746,0.47225394,0.448619004,0.761359017,2.352539946,126.5,34,0.488517851,0.462419092,0.123246914
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.65,0.729622523,0.62563429,0.166666667,0.456476869,1,0.527834094,0.285714286,0.40677419,2023840,19.14002371,2.418959333,30479879.06,439,0.716157205,0.029850746,0.472165906,0.448480055,0.761170317,2.347947223,114.5,30,0.488709877,0.478500015,0.139569475
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.70,0.729484518,0.625752648,0.185185185,0.456476869,1,0.527876213,0.3125,0.420188107,2023498,18.6574709,2.418959333,30479878.64,439,0.648648649,0.029850746,0.472123787,0.448413554,0.761079979,2.34575151,92.5,27,0.488801487,0.493334807,0.155018557
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.75,0.724923885,0.629689376,0.238095238,0.456476869,1,0.529271898,0.384615385,0.456943641,2012196,16.20120295,2.418959333,30474308.67,439,0.601226994,0.029850746,0.470728102,0.446201658,0.758079534,2.295024415,81.5,21,0.491859587,0.522508779,0.196837615
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.80,0.724406163,0.630139405,0.294117647,0.456476869,1,0.529430802,0.454545455,0.491988128,2010913,15.20331249,2.418959333,30472974.16,439,0.569536424,0.029850746,0.470569198,0.445948803,0.75773386,2.28723571,75.5,17,0.492209771,0.559573456,0.24280541
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.85,0.724404146,0.63014116,0.333333333,0.456476869,1,0.529431421,0.5,0.514715711,2010908,14.91248459,2.418959333,30472974.17,439,0.525547445,0.029850746,0.470568579,0.445947817,0.75773251,2.287184654,68.5,15,0.492210593,0.585423266,0.275177932
